model,system,round,codebleu,rougeLsum,score_document,score_reference,score_reference_document
deepseek-r1-32b,sedan,round_3,0.5832,0.8257,47,40,30
deepseek-r1-32b,sensros,round_1,0.2553,0.3308,12,2,20
deepseek-r1-32b,sensros,round_2,0.6856,0.8689,37,17,27
deepseek-r1-32b,sensros,round_3,0.9862,0.9953,17,67,73
deepseek-r1-32b,slider_crank,round_1,0.2837,0.3122,12,10,15
deepseek-r1-32b,slider_crank,round_2,0.6859,0.8344,62,67,77
deepseek-r1-32b,slider_crank,round_3,0.9117,0.9829,77,73,68
deepseek-r1-32b,tablecloth,round_1,0.2342,0.2866,0,15,32
deepseek-r1-32b,tablecloth,round_2,0.6723,0.9279,73,66,46
deepseek-r1-32b,tablecloth,round_3,0.9388,0.988,12,61,46
deepseek-r1-32b,turtlebot,round_1,0.2412,0.4295,27,25,20
deepseek-r1-32b,turtlebot,round_2,0.6659,0.9266,86,60,62
deepseek-r1-32b,turtlebot,round_3,0.2838,0.1708,2,20,30
deepseek-r1-32b,uazbus,round_1,0.2394,0.4329,29,22,17
deepseek-r1-32b,uazbus,round_2,0.7096,0.8485,17,62,65
deepseek-r1-32b,uazbus,round_3,0.8179,0.9008,12,25,12
deepseek-r1-32b,veh_app,round_1,0.1636,0.2774,39,17,22
deepseek-r1-32b,veh_app,round_2,0.8116,0.9206,17,0,30
deepseek-r1-32b,veh_app,round_3,0.7683,0.9483,12,22,52
deepseek-r1-32b,vehros,round_1,0.2876,0.249,12,2,7
deepseek-r1-32b,vehros,round_2,0.647,0.8388,27,40,12
deepseek-r1-32b,vehros,round_3,0.714,0.8511,44,0,34
deepseek-r1-32b,viper,round_1,0.2108,0.4495,27,25,35
deepseek-r1-32b,viper,round_2,0.8806,0.9858,45,57,70
deepseek-r1-32b,viper,round_3,0.7211,0.8674,57,24,20
deepseek-r1-8b,art,round_1,0.1722,0.1353,0,0,5
deepseek-r1-8b,art,round_2,0.9744,1.0,91,87,90
deepseek-r1-8b,art,round_3,0.8767,0.9848,12,60,69
deepseek-r1-8b,beam,round_1,0.2557,0.1905,0,10,25
deepseek-r1-8b,beam,round_2,0.7817,0.9261,60,25,44
deepseek-r1-8b,beam,round_3,0.8679,0.9628,22,67,69
deepseek-r1-8b,buckling,round_1,0.2361,0.2282,0,15,15
deepseek-r1-8b,buckling,round_2,0.8883,0.9914,27,32,39
deepseek-r1-8b,buckling,round_3,0.6486,0.8981,54,0,9
deepseek-r1-8b,cable,round_1,0.2217,0.1609,20,25,20
deepseek-r1-8b,cable,round_2,0.8312,0.9117,81,57,64
deepseek-r1-8b,cable,round_3,0.4419,0.5886,27,0,29
deepseek-r1-8b,camera,round_1,0.1784,0.2231,12,0,0
deepseek-r1-8b,camera,round_2,0.9045,0.9478,32,35,37
deepseek-r1-8b,camera,round_3,0.7132,0.9,22,12,30
deepseek-r1-8b,citybus,round_1,0.4119,0.2486,0,20,7
deepseek-r1-8b,citybus,round_2,0.8821,0.9646,15,55,42
deepseek-r1-8b,citybus,round_3,0.9685,0.9961,47,67,85
deepseek-r1-8b,curiosity,round_1,0.281,0.2475,12,0,15
deepseek-r1-8b,curiosity,round_2,0.7701,0.9153,63,34,70
deepseek-r1-8b,curiosity,round_3,0.6599,0.8174,52,59,43
deepseek-r1-8b,feda,round_1,0.2594,0.2635,12,25,15
deepseek-r1-8b,feda,round_2,0.7659,0.8815,12,25,30
deepseek-r1-8b,feda,round_3,0.6164,0.8085,12,27,14
deepseek-r1-8b,gator,round_1,0.2147,0.2378,0,0,10
deepseek-r1-8b,gator,round_2,0.7315,0.8378,64,32,37
deepseek-r1-8b,gator,round_3,0.9455,0.9974,29,72,77
deepseek-r1-8b,gear,round_1,0.2118,0.1755,12,20,0
deepseek-r1-8b,gear,round_2,1.0,1.0,42,86,85
deepseek-r1-8b,gear,round_3,0.6996,0.8664,30,2,32
deepseek-r1-8b,gps_imu,round_1,0.2097,0.2516,12,0,15
deepseek-r1-8b,gps_imu,round_2,0.7838,0.9058,52,32,62
deepseek-r1-8b,gps_imu,round_3,0.7886,0.9751,62,80,82
deepseek-r1-8b,handler,round_1,0.3876,0.2758,27,15,10
deepseek-r1-8b,handler,round_2,0.9613,0.9873,67,75,70
deepseek-r1-8b,handler,round_3,0.6136,0.7746,69,35,12
deepseek-r1-8b,hmmwv,round_1,0.2091,0.2145,25,20,7
deepseek-r1-8b,hmmwv,round_2,0.5683,0.7478,7,20,25
deepseek-r1-8b,hmmwv,round_3,0.6289,0.8815,37,54,57
deepseek-r1-8b,kraz,round_1,0.2097,0.2102,12,10,7
deepseek-r1-8b,kraz,round_2,0.7052,0.8103,12,37,42
deepseek-r1-8b,kraz,round_3,0.5083,0.7633,12,4,27
deepseek-r1-8b,lidar,round_1,0.2172,0.2875,22,0,10
deepseek-r1-8b,lidar,round_2,0.6271,0.8532,55,12,25
deepseek-r1-8b,lidar,round_3,0.5526,0.6959,12,12,15
deepseek-r1-8b,m113,round_1,0.2174,0.1406,0,7,20
deepseek-r1-8b,m113,round_2,0.644,0.8621,2,27,27
deepseek-r1-8b,m113,round_3,0.7753,0.9302,17,12,32
deepseek-r1-8b,man,round_1,0.2223,0.2069,15,10,32
deepseek-r1-8b,man,round_2,0.8163,0.9082,12,0,27
deepseek-r1-8b,man,round_3,0.6608,0.8097,12,19,27
deepseek-r1-8b,mass_spring_damper,round_1,0.2276,0.2075,20,20,22
deepseek-r1-8b,mass_spring_damper,round_2,0.6911,0.9101,12,34,53
deepseek-r1-8b,mass_spring_damper,round_3,0.833,0.9597,49,4,58
deepseek-r1-8b,particles,round_1,0.2661,0.1398,20,12,17
deepseek-r1-8b,particles,round_2,0.7832,0.9186,67,55,42
deepseek-r1-8b,particles,round_3,0.885,0.9352,47,22,53
deepseek-r1-8b,pendulum,round_1,0.2315,0.1847,12,0,0
deepseek-r1-8b,pendulum,round_2,0.8339,0.9518,48,54,60
deepseek-r1-8b,pendulum,round_3,0.6885,0.9079,47,0,47
deepseek-r1-8b,rigid_highway,round_1,0.1986,0.2762,2,0,15
deepseek-r1-8b,rigid_highway,round_2,0.5355,0.3702,0,15,10
deepseek-r1-8b,rigid_highway,round_3,0.8722,0.983,12,80,85
deepseek-r1-8b,rigid_multipatches,round_1,0.2557,0.1573,2,0,20
deepseek-r1-8b,rigid_multipatches,round_2,0.7935,0.8882,0,44,44
deepseek-r1-8b,rigid_multipatches,round_3,0.9172,0.9978,12,64,72
deepseek-r1-8b,rotor,round_1,0.1952,0.2739,12,10,7
deepseek-r1-8b,rotor,round_2,0.9288,0.985,82,54,59
deepseek-r1-8b,rotor,round_3,0.7907,0.9408,57,39,47
deepseek-r1-8b,scm,round_1,0.2128,0.3103,25,20,7
deepseek-r1-8b,scm,round_2,0.6203,0.8688,15,9,34
deepseek-r1-8b,scm,round_3,0.614,0.7639,12,12,17
deepseek-r1-8b,scm_hill,round_1,0.1997,0.1423,0,7,10
deepseek-r1-8b,scm_hill,round_2,0.5561,0.7974,17,25,30
deepseek-r1-8b,scm_hill,round_3,0.7443,0.9258,54,19,47
deepseek-r1-8b,sedan,round_1,0.1744,0.1898,15,0,25
deepseek-r1-8b,sedan,round_2,0.6009,0.7118,32,12,47
deepseek-r1-8b,sedan,round_3,0.3942,0.6496,2,0,25
deepseek-r1-8b,sensros,round_1,0.2154,0.1537,2,0,10
deepseek-r1-8b,sensros,round_2,0.8388,0.9438,30,27,0
deepseek-r1-8b,sensros,round_3,0.9469,0.9854,12,59,80
deepseek-r1-8b,slider_crank,round_1,0.2405,0.1914,7,17,25
deepseek-r1-8b,slider_crank,round_2,0.7204,0.8653,79,67,69
deepseek-r1-8b,slider_crank,round_3,0.2265,0.3287,40,20,37
deepseek-r1-8b,tablecloth,round_1,0.1642,0.0782,0,12,0
deepseek-r1-8b,tablecloth,round_2,0.6524,0.8965,12,12,12
deepseek-r1-8b,tablecloth,round_3,0.8759,0.9593,52,44,59
deepseek-r1-8b,turtlebot,round_1,0.2685,0.3906,37,2,15
deepseek-r1-8b,turtlebot,round_2,0.614,0.8248,50,54,54
deepseek-r1-8b,turtlebot,round_3,0.4823,0.7671,45,34,33
deepseek-r1-8b,uazbus,round_1,0.1804,0.1354,24,0,2
deepseek-r1-8b,uazbus,round_2,0.8203,0.9108,30,49,57
deepseek-r1-8b,uazbus,round_3,0.8329,0.9416,12,17,32
deepseek-r1-8b,veh_app,round_1,0.1896,0.2425,2,0,27
deepseek-r1-8b,veh_app,round_2,0.748,0.8814,12,32,47
deepseek-r1-8b,veh_app,round_3,0.8836,0.94,47,35,52
deepseek-r1-8b,vehros,round_1,0.2474,0.1989,12,12,10
deepseek-r1-8b,vehros,round_2,0.5375,0.767,25,50,40
deepseek-r1-8b,vehros,round_3,0.6108,0.8387,27,25,27
deepseek-r1-8b,viper,round_1,0.2212,0.1509,7,7,15
deepseek-r1-8b,viper,round_2,0.9404,0.9797,32,47,60
deepseek-r1-8b,viper,round_3,0.6605,0.8157,49,17,17
gemma-2-27b-it,art,round_1,0.2261,0.3901,27,27,22
gemma-2-27b-it,art,round_2,1.0,1.0,12,90,90
gemma-2-27b-it,art,round_3,0.9671,1.0,72,90,90
gemma-2-27b-it,beam,round_1,0.2523,0.2984,84,17,15
gemma-2-27b-it,beam,round_2,0.6296,0.8658,59,12,37
gemma-2-27b-it,beam,round_3,0.983,0.9964,59,72,75
gemma-2-27b-it,buckling,round_1,0.2388,0.2506,19,12,27
gemma-2-27b-it,buckling,round_2,0.3024,0.367,27,12,12
gemma-2-27b-it,buckling,round_3,0.49,0.6716,17,17,0
gemma-2-27b-it,cable,round_1,0.2838,0.3576,39,0,25
gemma-2-27b-it,cable,round_2,0.9524,1.0,88,77,67
gemma-2-27b-it,cable,round_3,0.4964,0.6925,79,12,12
gemma-2-27b-it,camera,round_1,0.2008,0.2229,37,12,15
gemma-2-27b-it,camera,round_2,0.694,0.881,12,24,10
gemma-2-27b-it,camera,round_3,0.7361,0.9049,4,7,27
gemma-2-27b-it,citybus,round_1,0.2732,0.357,30,0,22
gemma-2-27b-it,citybus,round_2,0.8935,0.9809,27,22,59
gemma-2-27b-it,citybus,round_3,0.9939,0.9974,12,73,65
gemma-2-27b-it,curiosity,round_1,0.2951,0.4553,59,25,27
gemma-2-27b-it,curiosity,round_2,0.8336,0.9416,32,67,55
gemma-2-27b-it,curiosity,round_3,0.665,0.8524,39,54,40
gemma-2-27b-it,feda,round_1,0.2319,0.3927,37,2,27
gemma-2-27b-it,feda,round_2,0.8525,0.9323,37,29,12
gemma-2-27b-it,feda,round_3,0.646,0.8586,12,35,52
gemma-2-27b-it,gator,round_1,0.2496,0.3816,0,27,22
gemma-2-27b-it,gator,round_2,0.755,0.8706,17,37,34
gemma-2-27b-it,gator,round_3,0.9496,0.9894,12,57,90
gemma-2-27b-it,gear,round_1,0.2457,0.2961,67,0,17
gemma-2-27b-it,gear,round_2,0.7432,0.869,0,22,30
gemma-2-27b-it,gear,round_3,0.5354,0.6573,0,27,40
gemma-2-27b-it,gps_imu,round_1,0.2095,0.3222,12,0,27
gemma-2-27b-it,gps_imu,round_2,0.8736,0.9493,74,14,52
gemma-2-27b-it,gps_imu,round_3,0.898,0.929,15,32,29
gemma-2-27b-it,handler,round_1,0.2485,0.4336,14,5,10
gemma-2-27b-it,handler,round_2,0.9775,0.9964,55,72,55
gemma-2-27b-it,handler,round_3,0.7248,0.8656,42,0,45
gemma-2-27b-it,hmmwv,round_1,0.2274,0.3568,0,17,25
gemma-2-27b-it,hmmwv,round_2,0.5647,0.7653,37,22,35
gemma-2-27b-it,hmmwv,round_3,0.6737,0.9442,72,29,39
gemma-2-27b-it,kraz,round_1,0.2128,0.3504,44,25,17
gemma-2-27b-it,kraz,round_2,0.8399,0.8854,17,63,77
gemma-2-27b-it,kraz,round_3,0.5033,0.8323,83,0,25
gemma-2-27b-it,lidar,round_1,0.1978,0.3351,7,27,32
gemma-2-27b-it,lidar,round_2,0.7552,0.8831,12,25,17
gemma-2-27b-it,lidar,round_3,0.4267,0.6248,15,20,25
gemma-2-27b-it,m113,round_1,0.2244,0.3732,17,2,27
gemma-2-27b-it,m113,round_2,0.781,0.902,12,27,37
gemma-2-27b-it,m113,round_3,0.8706,0.9671,57,12,34
gemma-2-27b-it,man,round_1,0.198,0.233,59,22,19
gemma-2-27b-it,man,round_2,0.9133,0.9655,80,44,67
gemma-2-27b-it,man,round_3,0.6642,0.8468,12,12,32
gemma-2-27b-it,mass_spring_damper,round_1,0.3558,0.4369,44,0,17
gemma-2-27b-it,mass_spring_damper,round_2,0.7126,0.8972,27,49,45
gemma-2-27b-it,mass_spring_damper,round_3,0.8665,0.9813,64,42,29
gemma-2-27b-it,particles,round_1,0.2972,0.2889,22,20,27
gemma-2-27b-it,particles,round_2,0.882,0.9822,63,60,65
gemma-2-27b-it,particles,round_3,0.7304,0.8239,64,27,35
gemma-2-27b-it,pendulum,round_1,0.3129,0.4416,54,22,24
gemma-2-27b-it,pendulum,round_2,0.8368,0.932,37,27,32
gemma-2-27b-it,pendulum,round_3,0.8749,0.9866,79,55,65
gemma-2-27b-it,rigid_highway,round_1,0.222,0.3571,37,0,15
gemma-2-27b-it,rigid_highway,round_2,0.9114,0.951,83,77,72
gemma-2-27b-it,rigid_highway,round_3,0.9071,0.9856,34,82,60
gemma-2-27b-it,rigid_multipatches,round_1,0.2873,0.3657,29,20,27
gemma-2-27b-it,rigid_multipatches,round_2,0.7907,0.9373,12,29,34
gemma-2-27b-it,rigid_multipatches,round_3,0.9259,1.0,16,77,64
gemma-2-27b-it,rotor,round_1,0.2114,0.297,2,25,17
gemma-2-27b-it,rotor,round_2,0.9547,0.9977,58,67,85
gemma-2-27b-it,rotor,round_3,0.8039,0.9091,37,32,63
gemma-2-27b-it,scm,round_1,0.246,0.3523,12,0,19
gemma-2-27b-it,scm,round_2,0.6232,0.8102,44,34,74
gemma-2-27b-it,scm,round_3,0.6131,0.8171,12,45,27
gemma-2-27b-it,scm_hill,round_1,0.2247,0.2991,17,10,22
gemma-2-27b-it,scm_hill,round_2,0.6961,0.853,12,14,37
gemma-2-27b-it,scm_hill,round_3,0.7943,0.9399,12,12,63
gemma-2-27b-it,sedan,round_1,0.2024,0.2303,69,20,2
gemma-2-27b-it,sedan,round_2,0.6685,0.7657,12,27,27
gemma-2-27b-it,sedan,round_3,0.5887,0.8304,52,12,25
gemma-2-27b-it,sensros,round_1,0.2321,0.3346,7,0,12
gemma-2-27b-it,sensros,round_2,0.6353,0.8225,27,0,20
gemma-2-27b-it,sensros,round_3,0.6586,0.79,22,37,22
gemma-2-27b-it,slider_crank,round_1,0.3334,0.4599,74,2,10
gemma-2-27b-it,slider_crank,round_2,0.8283,0.8642,14,64,59
gemma-2-27b-it,slider_crank,round_3,0.8837,0.9599,37,49,62
gemma-2-27b-it,tablecloth,round_1,0.208,0.2796,69,12,39
gemma-2-27b-it,tablecloth,round_2,0.6738,0.9144,17,54,67
gemma-2-27b-it,tablecloth,round_3,0.7336,0.868,27,14,45
gemma-2-27b-it,turtlebot,round_1,0.2227,0.4887,14,0,22
gemma-2-27b-it,turtlebot,round_2,0.8263,0.98,74,62,72
gemma-2-27b-it,turtlebot,round_3,0.4801,0.7829,74,37,27
gemma-2-27b-it,uazbus,round_1,0.2241,0.3583,69,25,20
gemma-2-27b-it,uazbus,round_2,0.8517,0.8949,75,57,77
gemma-2-27b-it,uazbus,round_3,0.8783,0.9644,12,22,55
gemma-2-27b-it,veh_app,round_1,0.2003,0.3585,2,0,2
gemma-2-27b-it,veh_app,round_2,0.8131,0.9139,15,14,39
gemma-2-27b-it,veh_app,round_3,0.7603,0.8338,27,20,39
gemma-2-27b-it,vehros,round_1,0.2931,0.4022,78,20,10
gemma-2-27b-it,vehros,round_2,0.6048,0.8374,42,37,35
gemma-2-27b-it,vehros,round_3,0.7275,0.911,42,35,27
gemma-2-27b-it,viper,round_1,0.2704,0.5283,45,17,32
gemma-2-27b-it,viper,round_2,0.9926,1.0,37,82,79
gemma-2-27b-it,viper,round_3,0.729,0.8778,72,12,27
gemma-2-2b-it,art,round_1,0.2103,0.2289,25,10,10
gemma-2-2b-it,art,round_2,1.0,1.0,12,93,85
gemma-2-2b-it,art,round_3,0.9671,1.0,12,88,90
gemma-2-2b-it,beam,round_1,0.239,0.2366,20,10,25
gemma-2-2b-it,beam,round_2,0.5069,0.7795,17,12,32
gemma-2-2b-it,beam,round_3,0.8879,0.9529,49,39,39
gemma-2-2b-it,buckling,round_1,0.1787,0.204,20,2,7
gemma-2-2b-it,buckling,round_2,0.3181,0.3731,45,12,17
gemma-2-2b-it,buckling,round_3,0.5021,0.6898,15,27,17
gemma-2-2b-it,cable,round_1,0.2402,0.227,0,25,10
gemma-2-2b-it,cable,round_2,0.9627,1.0,57,53,78
gemma-2-2b-it,cable,round_3,0.4878,0.6651,12,32,37
gemma-2-2b-it,camera,round_1,0.1533,0.2078,0,7,0
gemma-2-2b-it,camera,round_2,0.6441,0.7828,0,2,32
gemma-2-2b-it,camera,round_3,0.5948,0.7788,20,27,20
gemma-2-2b-it,citybus,round_1,0.1974,0.2661,12,0,10
gemma-2-2b-it,citybus,round_2,0.8994,0.9708,7,39,34
gemma-2-2b-it,citybus,round_3,0.8664,0.9897,47,67,64
gemma-2-2b-it,curiosity,round_1,0.2311,0.2719,30,25,27
gemma-2-2b-it,curiosity,round_2,0.8069,0.9211,45,62,68
gemma-2-2b-it,curiosity,round_3,0.5982,0.8307,17,35,43
gemma-2-2b-it,feda,round_1,0.2163,0.2791,22,20,7
gemma-2-2b-it,feda,round_2,0.7702,0.9382,12,12,27
gemma-2-2b-it,feda,round_3,0.6368,0.8349,17,37,35
gemma-2-2b-it,gator,round_1,0.2149,0.294,22,20,10
gemma-2-2b-it,gator,round_2,0.3783,0.3744,20,35,27
gemma-2-2b-it,gator,round_3,0.9686,0.9894,12,65,62
gemma-2-2b-it,gear,round_1,0.1981,0.1733,20,7,15
gemma-2-2b-it,gear,round_2,0.529,0.6677,2,20,30
gemma-2-2b-it,gear,round_3,0.3665,0.4732,73,12,15
gemma-2-2b-it,gps_imu,round_1,0.2116,0.3283,20,0,15
gemma-2-2b-it,gps_imu,round_2,0.8689,0.9341,12,37,32
gemma-2-2b-it,gps_imu,round_3,0.877,0.9,12,22,32
gemma-2-2b-it,handler,round_1,0.1512,0.0368,20,10,7
gemma-2-2b-it,handler,round_2,0.567,0.5213,25,57,32
gemma-2-2b-it,handler,round_3,0.5137,0.678,29,20,22
gemma-2-2b-it,hmmwv,round_1,0.1686,0.2846,25,20,10
gemma-2-2b-it,hmmwv,round_2,0.6031,0.8097,86,25,27
gemma-2-2b-it,hmmwv,round_3,0.667,0.9193,67,29,44
gemma-2-2b-it,kraz,round_1,0.1513,0.0886,10,0,5
gemma-2-2b-it,kraz,round_2,0.8442,0.911,17,42,49
gemma-2-2b-it,kraz,round_3,0.4629,0.7882,0,12,30
gemma-2-2b-it,lidar,round_1,0.2045,0.3152,12,0,0
gemma-2-2b-it,lidar,round_2,0.7233,0.8517,15,29,27
gemma-2-2b-it,lidar,round_3,0.3291,0.5451,0,0,25
gemma-2-2b-it,m113,round_1,0.1488,0.0703,20,20,10
gemma-2-2b-it,m113,round_2,0.5887,0.7261,22,25,32
gemma-2-2b-it,m113,round_3,0.859,0.9555,20,57,58
gemma-2-2b-it,man,round_1,0.1813,0.2435,22,2,10
gemma-2-2b-it,man,round_2,0.9127,0.9702,12,54,52
gemma-2-2b-it,man,round_3,0.5777,0.7956,12,45,37
gemma-2-2b-it,mass_spring_damper,round_1,0.2402,0.2948,4,12,22
gemma-2-2b-it,mass_spring_damper,round_2,0.765,0.9034,59,22,34
gemma-2-2b-it,mass_spring_damper,round_3,0.8372,0.9646,64,59,47
gemma-2-2b-it,particles,round_1,0.2407,0.1921,12,0,10
gemma-2-2b-it,particles,round_2,0.8802,0.9683,52,52,57
gemma-2-2b-it,particles,round_3,0.7784,0.8946,42,17,47
gemma-2-2b-it,pendulum,round_1,0.29,0.3117,0,0,25
gemma-2-2b-it,pendulum,round_2,0.8371,0.9402,12,27,29
gemma-2-2b-it,pendulum,round_3,0.8782,0.977,72,47,44
gemma-2-2b-it,rigid_highway,round_1,0.2155,0.3363,0,0,5
gemma-2-2b-it,rigid_highway,round_2,0.8807,0.9128,88,45,57
gemma-2-2b-it,rigid_highway,round_3,0.8849,0.9829,17,52,52
gemma-2-2b-it,rigid_multipatches,round_1,0.2101,0.1713,12,20,27
gemma-2-2b-it,rigid_multipatches,round_2,0.7375,0.896,29,22,29
gemma-2-2b-it,rigid_multipatches,round_3,0.8469,0.9956,32,59,49
gemma-2-2b-it,rotor,round_1,0.1885,0.2366,29,10,29
gemma-2-2b-it,rotor,round_2,0.9547,0.9977,45,62,78
gemma-2-2b-it,rotor,round_3,0.7958,0.9445,27,54,59
gemma-2-2b-it,scm,round_1,0.2307,0.2549,12,0,15
gemma-2-2b-it,scm,round_2,0.4111,0.6113,12,20,30
gemma-2-2b-it,scm,round_3,0.6304,0.7706,12,30,27
gemma-2-2b-it,scm_hill,round_1,0.1842,0.251,24,2,12
gemma-2-2b-it,scm_hill,round_2,0.6801,0.7448,0,22,12
gemma-2-2b-it,scm_hill,round_3,0.8449,0.9437,54,52,44
gemma-2-2b-it,sedan,round_1,0.1929,0.1542,20,7,17
gemma-2-2b-it,sedan,round_2,0.607,0.6913,12,12,37
gemma-2-2b-it,sedan,round_3,0.6316,0.7956,37,17,25
gemma-2-2b-it,sensros,round_1,0.2051,0.2347,12,0,20
gemma-2-2b-it,sensros,round_2,0.7217,0.8444,12,2,15
gemma-2-2b-it,sensros,round_3,0.6616,0.7967,9,39,32
gemma-2-2b-it,slider_crank,round_1,0.2649,0.3358,27,0,25
gemma-2-2b-it,slider_crank,round_2,0.7204,0.8752,47,30,54
gemma-2-2b-it,slider_crank,round_3,0.8957,0.9755,64,72,43
gemma-2-2b-it,tablecloth,round_1,0.1472,0.1869,22,12,7
gemma-2-2b-it,tablecloth,round_2,0.6397,0.935,14,54,39
gemma-2-2b-it,tablecloth,round_3,0.7331,0.867,12,24,32
gemma-2-2b-it,turtlebot,round_1,0.2392,0.4,5,5,20
gemma-2-2b-it,turtlebot,round_2,0.7377,0.873,34,39,49
gemma-2-2b-it,turtlebot,round_3,0.4339,0.7071,62,32,38
gemma-2-2b-it,uazbus,round_1,0.2095,0.2403,0,2,10
gemma-2-2b-it,uazbus,round_2,0.8368,0.9035,37,42,57
gemma-2-2b-it,uazbus,round_3,0.8602,0.9539,12,62,37
gemma-2-2b-it,veh_app,round_1,0.1754,0.2634,0,0,10
gemma-2-2b-it,veh_app,round_2,0.7377,0.841,15,57,42
gemma-2-2b-it,veh_app,round_3,0.7393,0.8432,17,37,34
gemma-2-2b-it,vehros,round_1,0.2318,0.2983,12,2,2
gemma-2-2b-it,vehros,round_2,0.5303,0.7554,37,54,27
gemma-2-2b-it,vehros,round_3,0.6907,0.8833,45,34,32
gemma-2-2b-it,viper,round_1,0.2134,0.3862,0,7,25
gemma-2-2b-it,viper,round_2,0.7113,0.8696,20,42,37
gemma-2-2b-it,viper,round_3,0.6972,0.8665,72,29,34
gemma-2-9b-it,art,round_1,0.2077,0.2403,27,12,7
gemma-2-9b-it,art,round_2,1.0,1.0,12,90,78
gemma-2-9b-it,art,round_3,0.9671,1.0,12,90,90
gemma-2-9b-it,beam,round_1,0.2454,0.2863,22,30,15
gemma-2-9b-it,beam,round_2,0.7369,0.8868,17,0,17
gemma-2-9b-it,beam,round_3,0.9187,0.9828,42,62,67
gemma-2-9b-it,buckling,round_1,0.1884,0.2567,25,27,17
gemma-2-9b-it,buckling,round_2,0.3063,0.3711,40,45,0
gemma-2-9b-it,buckling,round_3,0.5439,0.7301,22,20,5
gemma-2-9b-it,cable,round_1,0.3039,0.3131,20,25,25
gemma-2-9b-it,cable,round_2,0.9627,1.0,43,80,72
gemma-2-9b-it,cable,round_3,0.5149,0.7231,15,12,32
gemma-2-9b-it,camera,round_1,0.19,0.2718,20,20,12
gemma-2-9b-it,camera,round_2,0.694,0.881,7,7,0
gemma-2-9b-it,camera,round_3,0.729,0.9041,12,0,12
gemma-2-9b-it,citybus,round_1,0.2375,0.2969,32,0,12
gemma-2-9b-it,citybus,round_2,0.7197,0.9615,12,12,37
gemma-2-9b-it,citybus,round_3,0.9939,0.9961,12,75,75
gemma-2-9b-it,curiosity,round_1,0.2101,0.3302,47,32,27
gemma-2-9b-it,curiosity,round_2,0.8351,0.9512,17,65,62
gemma-2-9b-it,curiosity,round_3,0.6128,0.8088,62,34,40
gemma-2-9b-it,feda,round_1,0.2389,0.354,12,20,17
gemma-2-9b-it,feda,round_2,0.837,0.8649,12,0,39
gemma-2-9b-it,feda,round_3,0.7319,0.8292,27,22,37
gemma-2-9b-it,gator,round_1,0.2484,0.2881,22,25,12
gemma-2-9b-it,gator,round_2,0.7543,0.8669,12,42,49
gemma-2-9b-it,gator,round_3,0.9552,0.9947,12,75,75
gemma-2-9b-it,gear,round_1,0.2306,0.3477,27,0,30
gemma-2-9b-it,gear,round_2,0.5084,0.6476,40,20,15
gemma-2-9b-it,gear,round_3,0.3687,0.47,20,17,20
gemma-2-9b-it,gps_imu,round_1,0.201,0.2593,24,0,0
gemma-2-9b-it,gps_imu,round_2,0.7793,0.935,88,12,59
gemma-2-9b-it,gps_imu,round_3,0.9264,0.9515,14,59,55
gemma-2-9b-it,handler,round_1,0.2034,0.4203,12,25,35
gemma-2-9b-it,handler,round_2,0.9775,0.9964,70,85,55
gemma-2-9b-it,handler,round_3,0.6428,0.7908,64,30,25
gemma-2-9b-it,hmmwv,round_1,0.2214,0.3117,12,0,22
gemma-2-9b-it,hmmwv,round_2,0.5832,0.7115,12,12,30
gemma-2-9b-it,hmmwv,round_3,0.6666,0.9116,44,59,47
gemma-2-9b-it,kraz,round_1,0.182,0.2685,0,22,19
gemma-2-9b-it,kraz,round_2,0.8381,0.8904,22,37,69
gemma-2-9b-it,kraz,round_3,0.5613,0.8388,12,20,30
gemma-2-9b-it,lidar,round_1,0.2205,0.3855,7,22,22
gemma-2-9b-it,lidar,round_2,0.734,0.8906,0,0,15
gemma-2-9b-it,lidar,round_3,0.4113,0.6171,25,0,17
gemma-2-9b-it,m113,round_1,0.2082,0.3091,19,20,20
gemma-2-9b-it,m113,round_2,0.7887,0.9186,12,0,32
gemma-2-9b-it,m113,round_3,0.8627,0.9519,12,37,40
gemma-2-9b-it,man,round_1,0.1631,0.1822,17,10,15
gemma-2-9b-it,man,round_2,0.9284,0.9345,12,39,52
gemma-2-9b-it,man,round_3,0.6615,0.8434,39,34,27
gemma-2-9b-it,mass_spring_damper,round_1,0.3162,0.4152,32,25,44
gemma-2-9b-it,mass_spring_damper,round_2,0.7924,0.9365,59,52,44
gemma-2-9b-it,mass_spring_damper,round_3,0.8811,0.9848,72,18,45
gemma-2-9b-it,particles,round_1,0.3004,0.2942,32,0,12
gemma-2-9b-it,particles,round_2,0.8616,0.9832,29,57,68
gemma-2-9b-it,particles,round_3,0.9238,0.938,49,27,63
gemma-2-9b-it,pendulum,round_1,0.2779,0.3832,24,15,10
gemma-2-9b-it,pendulum,round_2,0.8161,0.9243,12,22,47
gemma-2-9b-it,pendulum,round_3,0.8438,0.9339,12,38,45
gemma-2-9b-it,rigid_highway,round_1,0.2269,0.314,32,0,15
gemma-2-9b-it,rigid_highway,round_2,0.8821,0.9268,69,72,69
gemma-2-9b-it,rigid_highway,round_3,0.8928,0.9829,67,67,72
gemma-2-9b-it,rigid_multipatches,round_1,0.2407,0.2783,73,20,7
gemma-2-9b-it,rigid_multipatches,round_2,0.8001,0.9312,20,29,14
gemma-2-9b-it,rigid_multipatches,round_3,0.9259,1.0,17,78,69
