model,system,category,turn1,turn2,turn3,Δ12,Δ23,Δ13,family
deepseek-r1-8b,buckling,FEA,15.00,39.00,9.00,24.00,-30.00,-6.00,DeepSeek
deepseek-r1-8b,cable,FEA,20.00,64.00,29.00,44.00,-35.00,9.00,DeepSeek
deepseek-r1-8b,camera,SEN,0.00,37.00,30.00,37.00,-7.00,30.00,DeepSeek
deepseek-r1-8b,citybus,VEH,7.00,42.00,85.00,35.00,43.00,78.00,DeepSeek
deepseek-r1-8b,curiosity,RBT,15.00,70.00,43.00,55.00,-27.00,28.00,DeepSeek
deepseek-r1-8b,feda,VEH,15.00,30.00,14.00,15.00,-16.00,-1.00,DeepSeek
deepseek-r1-8b,gator,VEH,10.00,37.00,77.00,27.00,40.00,67.00,DeepSeek
deepseek-r1-8b,gear,MBS,0.00,85.00,32.00,85.00,-53.00,32.00,DeepSeek
deepseek-r1-8b,gps_imu,SEN,15.00,62.00,82.00,47.00,20.00,67.00,DeepSeek
deepseek-r1-8b,handler,RBT,10.00,70.00,12.00,60.00,-58.00,2.00,DeepSeek
deepseek-r1-8b,hmmwv,VEH,7.00,25.00,57.00,18.00,32.00,50.00,DeepSeek
deepseek-r1-8b,kraz,VEH,7.00,42.00,27.00,35.00,-15.00,20.00,DeepSeek
deepseek-r1-8b,lidar,SEN,10.00,25.00,15.00,15.00,-10.00,5.00,DeepSeek
deepseek-r1-8b,m113,VEH,20.00,27.00,32.00,7.00,5.00,12.00,DeepSeek
deepseek-r1-8b,man,VEH,32.00,27.00,27.00,-5.00,0.00,-5.00,DeepSeek
deepseek-r1-8b,mass_spring_damper,MBS,22.00,53.00,58.00,31.00,5.00,36.00,DeepSeek
deepseek-r1-8b,particles,MBS,17.00,42.00,53.00,25.00,11.00,36.00,DeepSeek
deepseek-r1-8b,pendulum,MBS,0.00,60.00,47.00,60.00,-13.00,47.00,DeepSeek
deepseek-r1-8b,rigid_highway,VEH,15.00,10.00,85.00,-5.00,75.00,70.00,DeepSeek
deepseek-r1-8b,rigid_multipatches,VEH,20.00,44.00,72.00,24.00,28.00,52.00,DeepSeek
deepseek-r1-8b,rotor,FEA,7.00,59.00,47.00,52.00,-12.00,40.00,DeepSeek
deepseek-r1-8b,scm,VEH,7.00,34.00,17.00,27.00,-17.00,10.00,DeepSeek
deepseek-r1-8b,scm_hill,VEH,10.00,30.00,47.00,20.00,17.00,37.00,DeepSeek
deepseek-r1-8b,sedan,VEH,25.00,47.00,25.00,22.00,-22.00,0.00,DeepSeek
deepseek-r1-8b,sensros,RBT,10.00,0.00,80.00,-10.00,80.00,70.00,DeepSeek
deepseek-r1-8b,slider_crank,MBS,25.00,69.00,37.00,44.00,-32.00,12.00,DeepSeek
deepseek-r1-8b,tablecloth,FEA,0.00,12.00,59.00,12.00,47.00,59.00,DeepSeek
deepseek-r1-8b,turtlebot,RBT,15.00,54.00,33.00,39.00,-21.00,18.00,DeepSeek
deepseek-r1-8b,uazbus,VEH,2.00,57.00,32.00,55.00,-25.00,30.00,DeepSeek
deepseek-r1-8b,veh_app,SEN,27.00,47.00,52.00,20.00,5.00,25.00,DeepSeek
deepseek-r1-8b,vehros,RBT,10.00,40.00,27.00,30.00,-13.00,17.00,DeepSeek
deepseek-r1-8b,viper,RBT,15.00,60.00,17.00,45.00,-43.00,2.00,DeepSeek
gemma-2-27b-it,art,VEH,22.00,90.00,90.00,68.00,0.00,68.00,Gemma
gemma-2-27b-it,beam,FEA,15.00,37.00,75.00,22.00,38.00,60.00,Gemma
gemma-2-27b-it,buckling,FEA,27.00,12.00,0.00,-15.00,-12.00,-27.00,Gemma
gemma-2-27b-it,cable,FEA,25.00,67.00,12.00,42.00,-55.00,-13.00,Gemma
gemma-2-27b-it,camera,SEN,15.00,10.00,27.00,-5.00,17.00,12.00,Gemma
gemma-2-27b-it,citybus,VEH,22.00,59.00,65.00,37.00,6.00,43.00,Gemma
gemma-2-27b-it,curiosity,RBT,27.00,55.00,40.00,28.00,-15.00,13.00,Gemma
gemma-2-27b-it,feda,VEH,27.00,12.00,52.00,-15.00,40.00,25.00,Gemma
gemma-2-27b-it,gator,VEH,22.00,34.00,90.00,12.00,56.00,68.00,Gemma
gemma-2-27b-it,gear,MBS,17.00,30.00,40.00,13.00,10.00,23.00,Gemma
gemma-2-27b-it,gps_imu,SEN,27.00,52.00,29.00,25.00,-23.00,2.00,Gemma
gemma-2-27b-it,handler,RBT,10.00,55.00,45.00,45.00,-10.00,35.00,Gemma
gemma-2-27b-it,hmmwv,VEH,25.00,35.00,39.00,10.00,4.00,14.00,Gemma
gemma-2-27b-it,kraz,VEH,17.00,77.00,25.00,60.00,-52.00,8.00,Gemma
gemma-2-27b-it,lidar,SEN,32.00,17.00,25.00,-15.00,8.00,-7.00,Gemma
gemma-2-27b-it,m113,VEH,27.00,37.00,34.00,10.00,-3.00,7.00,Gemma
gemma-2-27b-it,man,VEH,19.00,67.00,32.00,48.00,-35.00,13.00,Gemma
gemma-2-27b-it,mass_spring_damper,MBS,17.00,45.00,29.00,28.00,-16.00,12.00,Gemma
gemma-2-27b-it,particles,MBS,27.00,65.00,35.00,38.00,-30.00,8.00,Gemma
gemma-2-27b-it,pendulum,MBS,24.00,32.00,65.00,8.00,33.00,41.00,Gemma
gemma-2-27b-it,rigid_highway,VEH,15.00,72.00,60.00,57.00,-12.00,45.00,Gemma
gemma-2-27b-it,rigid_multipatches,VEH,27.00,34.00,64.00,7.00,30.00,37.00,Gemma
gemma-2-27b-it,rotor,FEA,17.00,85.00,63.00,68.00,-22.00,46.00,Gemma
gemma-2-27b-it,scm,VEH,19.00,74.00,27.00,55.00,-47.00,8.00,Gemma
gemma-2-27b-it,scm_hill,VEH,22.00,37.00,63.00,15.00,26.00,41.00,Gemma
gemma-2-27b-it,sedan,VEH,2.00,27.00,25.00,25.00,-2.00,23.00,Gemma
gemma-2-27b-it,sensros,RBT,12.00,20.00,22.00,8.00,2.00,10.00,Gemma
gemma-2-27b-it,slider_crank,MBS,10.00,59.00,62.00,49.00,3.00,52.00,Gemma
gemma-2-27b-it,tablecloth,FEA,39.00,67.00,45.00,28.00,-22.00,6.00,Gemma
gemma-2-27b-it,turtlebot,RBT,22.00,72.00,27.00,50.00,-45.00,5.00,Gemma
gemma-2-27b-it,uazbus,VEH,20.00,77.00,55.00,57.00,-22.00,35.00,Gemma
gemma-2-27b-it,veh_app,SEN,2.00,39.00,39.00,37.00,0.00,37.00,Gemma
gemma-2-27b-it,vehros,RBT,10.00,35.00,27.00,25.00,-8.00,17.00,Gemma
gemma-2-27b-it,viper,RBT,32.00,79.00,27.00,47.00,-52.00,-5.00,Gemma
gemma-2-2b-it,art,VEH,10.00,85.00,90.00,75.00,5.00,80.00,Gemma
gemma-2-2b-it,beam,FEA,25.00,32.00,39.00,7.00,7.00,14.00,Gemma
gemma-2-2b-it,buckling,FEA,7.00,17.00,17.00,10.00,0.00,10.00,Gemma
gemma-2-2b-it,cable,FEA,10.00,78.00,37.00,68.00,-41.00,27.00,Gemma
gemma-2-2b-it,camera,SEN,0.00,32.00,20.00,32.00,-12.00,20.00,Gemma
gemma-2-2b-it,citybus,VEH,10.00,34.00,64.00,24.00,30.00,54.00,Gemma
gemma-2-2b-it,curiosity,RBT,27.00,68.00,43.00,41.00,-25.00,16.00,Gemma
gemma-2-2b-it,feda,VEH,7.00,27.00,35.00,20.00,8.00,28.00,Gemma
gemma-2-2b-it,gator,VEH,10.00,27.00,62.00,17.00,35.00,52.00,Gemma
gemma-2-2b-it,gear,MBS,15.00,30.00,15.00,15.00,-15.00,0.00,Gemma
gemma-2-2b-it,gps_imu,SEN,15.00,32.00,32.00,17.00,0.00,17.00,Gemma
gemma-2-2b-it,handler,RBT,7.00,32.00,22.00,25.00,-10.00,15.00,Gemma
gemma-2-2b-it,hmmwv,VEH,10.00,27.00,44.00,17.00,17.00,34.00,Gemma
gemma-2-2b-it,kraz,VEH,5.00,49.00,30.00,44.00,-19.00,25.00,Gemma
gemma-2-2b-it,lidar,SEN,0.00,27.00,25.00,27.00,-2.00,25.00,Gemma
gemma-2-2b-it,m113,VEH,10.00,32.00,58.00,22.00,26.00,48.00,Gemma
gemma-2-2b-it,man,VEH,10.00,52.00,37.00,42.00,-15.00,27.00,Gemma
gemma-2-2b-it,mass_spring_damper,MBS,22.00,34.00,47.00,12.00,13.00,25.00,Gemma
gemma-2-2b-it,particles,MBS,10.00,57.00,47.00,47.00,-10.00,37.00,Gemma
gemma-2-2b-it,pendulum,MBS,25.00,29.00,44.00,4.00,15.00,19.00,Gemma
gemma-2-2b-it,rigid_highway,VEH,5.00,57.00,52.00,52.00,-5.00,47.00,Gemma
gemma-2-2b-it,rigid_multipatches,VEH,27.00,29.00,49.00,2.00,20.00,22.00,Gemma
gemma-2-2b-it,rotor,FEA,29.00,78.00,59.00,49.00,-19.00,30.00,Gemma
gemma-2-2b-it,scm,VEH,15.00,30.00,27.00,15.00,-3.00,12.00,Gemma
gemma-2-2b-it,scm_hill,VEH,12.00,12.00,44.00,0.00,32.00,32.00,Gemma
gemma-2-2b-it,sedan,VEH,17.00,37.00,25.00,20.00,-12.00,8.00,Gemma
gemma-2-2b-it,sensros,RBT,20.00,15.00,32.00,-5.00,17.00,12.00,Gemma
gemma-2-2b-it,slider_crank,MBS,25.00,54.00,43.00,29.00,-11.00,18.00,Gemma
gemma-2-2b-it,tablecloth,FEA,7.00,39.00,32.00,32.00,-7.00,25.00,Gemma
gemma-2-2b-it,turtlebot,RBT,20.00,49.00,38.00,29.00,-11.00,18.00,Gemma
gemma-2-2b-it,uazbus,VEH,10.00,57.00,37.00,47.00,-20.00,27.00,Gemma
gemma-2-2b-it,veh_app,SEN,10.00,42.00,34.00,32.00,-8.00,24.00,Gemma
gemma-2-2b-it,vehros,RBT,2.00,27.00,32.00,25.00,5.00,30.00,Gemma
gemma-2-2b-it,viper,RBT,25.00,37.00,34.00,12.00,-3.00,9.00,Gemma
gemma-2-9b-it,art,VEH,7.00,78.00,90.00,71.00,12.00,83.00,Gemma
gemma-2-9b-it,beam,FEA,15.00,17.00,67.00,2.00,50.00,52.00,Gemma
gemma-2-9b-it,buckling,FEA,17.00,0.00,5.00,-17.00,5.00,-12.00,Gemma
gemma-2-9b-it,cable,FEA,25.00,72.00,32.00,47.00,-40.00,7.00,Gemma
gemma-2-9b-it,camera,SEN,12.00,0.00,12.00,-12.00,12.00,0.00,Gemma
gemma-2-9b-it,citybus,VEH,12.00,37.00,75.00,25.00,38.00,63.00,Gemma
gemma-2-9b-it,curiosity,RBT,27.00,62.00,40.00,35.00,-22.00,13.00,Gemma
gemma-2-9b-it,feda,VEH,17.00,39.00,37.00,22.00,-2.00,20.00,Gemma
gemma-2-9b-it,gator,VEH,12.00,49.00,75.00,37.00,26.00,63.00,Gemma
gemma-2-9b-it,gear,MBS,30.00,15.00,20.00,-15.00,5.00,-10.00,Gemma
gemma-2-9b-it,gps_imu,SEN,0.00,59.00,55.00,59.00,-4.00,55.00,Gemma
gemma-2-9b-it,handler,RBT,35.00,55.00,25.00,20.00,-30.00,-10.00,Gemma
gemma-2-9b-it,hmmwv,VEH,22.00,30.00,47.00,8.00,17.00,25.00,Gemma
gemma-2-9b-it,kraz,VEH,19.00,69.00,30.00,50.00,-39.00,11.00,Gemma
gemma-2-9b-it,lidar,SEN,22.00,15.00,17.00,-7.00,2.00,-5.00,Gemma
gemma-2-9b-it,m113,VEH,20.00,32.00,40.00,12.00,8.00,20.00,Gemma
gemma-2-9b-it,man,VEH,15.00,52.00,27.00,37.00,-25.00,12.00,Gemma
gemma-2-9b-it,mass_spring_damper,MBS,44.00,44.00,45.00,0.00,1.00,1.00,Gemma
gemma-2-9b-it,particles,MBS,12.00,68.00,63.00,56.00,-5.00,51.00,Gemma
gemma-2-9b-it,pendulum,MBS,10.00,47.00,45.00,37.00,-2.00,35.00,Gemma
gemma-2-9b-it,rigid_highway,VEH,15.00,69.00,72.00,54.00,3.00,57.00,Gemma
gemma-2-9b-it,rigid_multipatches,VEH,7.00,14.00,69.00,7.00,55.00,62.00,Gemma
gemma-2-9b-it,rotor,FEA,27.00,80.00,49.00,53.00,-31.00,22.00,Gemma
gemma-2-9b-it,scm,VEH,17.00,44.00,35.00,27.00,-9.00,18.00,Gemma
gemma-2-9b-it,scm_hill,VEH,32.00,22.00,34.00,-10.00,12.00,2.00,Gemma
gemma-2-9b-it,sedan,VEH,17.00,12.00,27.00,-5.00,15.00,10.00,Gemma
gemma-2-9b-it,sensros,RBT,12.00,34.00,0.00,22.00,-34.00,-12.00,Gemma
gemma-2-9b-it,slider_crank,MBS,25.00,39.00,27.00,14.00,-12.00,2.00,Gemma
gemma-2-9b-it,tablecloth,FEA,29.00,46.00,42.00,17.00,-4.00,13.00,Gemma
gemma-2-9b-it,turtlebot,RBT,2.00,66.00,27.00,64.00,-39.00,25.00,Gemma
gemma-2-9b-it,uazbus,VEH,17.00,37.00,27.00,20.00,-10.00,10.00,Gemma
gemma-2-9b-it,veh_app,SEN,25.00,24.00,37.00,-1.00,13.00,12.00,Gemma
gemma-2-9b-it,vehros,RBT,15.00,12.00,37.00,-3.00,25.00,22.00,Gemma
gemma-2-9b-it,viper,RBT,32.00,87.00,12.00,55.00,-75.00,-20.00,Gemma
gemma-3-1b-it,art,VEH,7.00,90.00,70.00,83.00,-20.00,63.00,Gemma
gemma-3-1b-it,beam,FEA,0.00,42.00,62.00,42.00,20.00,62.00,Gemma
gemma-3-1b-it,buckling,FEA,5.00,32.00,15.00,27.00,-17.00,10.00,Gemma
gemma-3-1b-it,cable,FEA,12.00,9.00,57.00,-3.00,48.00,45.00,Gemma
gemma-3-1b-it,camera,SEN,9.00,30.00,30.00,21.00,0.00,21.00,Gemma
gemma-3-1b-it,citybus,VEH,10.00,49.00,49.00,39.00,0.00,39.00,Gemma
gemma-3-1b-it,curiosity,RBT,20.00,43.00,39.00,23.00,-4.00,19.00,Gemma
gemma-3-1b-it,feda,VEH,5.00,37.00,50.00,32.00,13.00,45.00,Gemma
gemma-3-1b-it,gator,VEH,7.00,60.00,39.00,53.00,-21.00,32.00,Gemma
gemma-3-1b-it,gear,MBS,22.00,29.00,5.00,7.00,-24.00,-17.00,Gemma
gemma-3-1b-it,gps_imu,SEN,7.00,29.00,9.00,22.00,-20.00,2.00,Gemma
gemma-3-1b-it,handler,RBT,0.00,70.00,37.00,70.00,-33.00,37.00,Gemma
gemma-3-1b-it,hmmwv,VEH,10.00,29.00,29.00,19.00,0.00,19.00,Gemma
gemma-3-1b-it,kraz,VEH,7.00,57.00,35.00,50.00,-22.00,28.00,Gemma
gemma-3-1b-it,lidar,SEN,17.00,44.00,32.00,27.00,-12.00,15.00,Gemma
gemma-3-1b-it,m113,VEH,17.00,32.00,34.00,15.00,2.00,17.00,Gemma
gemma-3-1b-it,man,VEH,7.00,32.00,57.00,25.00,25.00,50.00,Gemma
gemma-3-1b-it,mass_spring_damper,MBS,7.00,10.00,30.00,3.00,20.00,23.00,Gemma
gemma-3-1b-it,particles,MBS,0.00,24.00,24.00,24.00,0.00,24.00,Gemma
gemma-3-1b-it,pendulum,MBS,10.00,22.00,17.00,12.00,-5.00,7.00,Gemma
gemma-3-1b-it,rigid_highway,VEH,10.00,65.00,52.00,55.00,-13.00,42.00,Gemma
gemma-3-1b-it,rigid_multipatches,VEH,7.00,50.00,37.00,43.00,-13.00,30.00,Gemma
gemma-3-1b-it,rotor,FEA,2.00,34.00,32.00,32.00,-2.00,30.00,Gemma
gemma-3-1b-it,scm,VEH,15.00,47.00,44.00,32.00,-3.00,29.00,Gemma
gemma-3-1b-it,scm_hill,VEH,2.00,34.00,24.00,32.00,-10.00,22.00,Gemma
gemma-3-1b-it,sedan,VEH,2.00,37.00,42.00,35.00,5.00,40.00,Gemma
gemma-3-1b-it,sensros,RBT,20.00,2.00,7.00,-18.00,5.00,-13.00,Gemma
gemma-3-1b-it,slider_crank,MBS,17.00,39.00,15.00,22.00,-24.00,-2.00,Gemma
gemma-3-1b-it,tablecloth,FEA,25.00,31.00,32.00,6.00,1.00,7.00,Gemma
gemma-3-1b-it,turtlebot,RBT,12.00,67.00,32.00,55.00,-35.00,20.00,Gemma
gemma-3-1b-it,uazbus,VEH,25.00,44.00,34.00,19.00,-10.00,9.00,Gemma
gemma-3-1b-it,veh_app,SEN,10.00,27.00,12.00,17.00,-15.00,2.00,Gemma
gemma-3-1b-it,vehros,RBT,5.00,25.00,27.00,20.00,2.00,22.00,Gemma
gemma-3-1b-it,viper,RBT,25.00,42.00,30.00,17.00,-12.00,5.00,Gemma
gpt-4.1,art,VEH,0.00,82.00,80.00,82.00,-2.00,80.00,GPT
gpt-4.1,beam,FEA,32.00,78.00,62.00,46.00,-16.00,30.00,GPT
gpt-4.1,buckling,FEA,12.00,69.00,30.00,57.00,-39.00,18.00,GPT
gpt-4.1,cable,FEA,32.00,69.00,27.00,37.00,-42.00,-5.00,GPT
gpt-4.1,camera,SEN,15.00,44.00,25.00,29.00,-19.00,10.00,GPT
gpt-4.1,citybus,VEH,20.00,67.00,90.00,47.00,23.00,70.00,GPT
gpt-4.1,curiosity,RBT,14.00,37.00,54.00,23.00,17.00,40.00,GPT
gpt-4.1,feda,VEH,27.00,62.00,37.00,35.00,-25.00,10.00,GPT
gpt-4.1,gator,VEH,24.00,44.00,64.00,20.00,20.00,40.00,GPT
gpt-4.1,gear,MBS,12.00,73.00,54.00,61.00,-19.00,42.00,GPT
gpt-4.1,gps_imu,SEN,0.00,34.00,64.00,34.00,30.00,64.00,GPT
gpt-4.1,handler,RBT,15.00,60.00,42.00,45.00,-18.00,27.00,GPT
gpt-4.1,hmmwv,VEH,20.00,35.00,62.00,15.00,27.00,42.00,GPT
gpt-4.1,kraz,VEH,32.00,59.00,0.00,27.00,-59.00,-32.00,GPT
gpt-4.1,lidar,SEN,22.00,47.00,22.00,25.00,-25.00,0.00,GPT
gpt-4.1,m113,VEH,17.00,29.00,49.00,12.00,20.00,32.00,GPT
gpt-4.1,man,VEH,17.00,75.00,47.00,58.00,-28.00,30.00,GPT
gpt-4.1,mass_spring_damper,MBS,32.00,68.00,73.00,36.00,5.00,41.00,GPT
gpt-4.1,particles,MBS,24.00,64.00,30.00,40.00,-34.00,6.00,GPT
gpt-4.1,pendulum,MBS,27.00,42.00,44.00,15.00,2.00,17.00,GPT
gpt-4.1,rigid_highway,VEH,27.00,82.00,54.00,55.00,-28.00,27.00,GPT
gpt-4.1,rigid_multipatches,VEH,22.00,44.00,37.00,22.00,-7.00,15.00,GPT
gpt-4.1,rotor,FEA,27.00,29.00,27.00,2.00,-2.00,0.00,GPT
gpt-4.1,scm,VEH,27.00,76.00,27.00,49.00,-49.00,0.00,GPT
gpt-4.1,scm_hill,VEH,27.00,27.00,49.00,0.00,22.00,22.00,GPT
gpt-4.1,sedan,VEH,35.00,52.00,49.00,17.00,-3.00,14.00,GPT
gpt-4.1,sensros,RBT,20.00,34.00,12.00,14.00,-22.00,-8.00,GPT
gpt-4.1,slider_crank,MBS,34.00,57.00,64.00,23.00,7.00,30.00,GPT
gpt-4.1,tablecloth,FEA,12.00,65.00,46.00,53.00,-19.00,34.00,GPT
gpt-4.1,turtlebot,RBT,17.00,34.00,44.00,17.00,10.00,27.00,GPT
gpt-4.1,uazbus,VEH,0.00,77.00,14.00,77.00,-63.00,14.00,GPT
gpt-4.1,veh_app,SEN,27.00,62.00,32.00,35.00,-30.00,5.00,GPT
gpt-4.1,vehros,RBT,5.00,49.00,32.00,44.00,-17.00,27.00,GPT
gpt-4.1,viper,RBT,29.00,67.00,30.00,38.00,-37.00,1.00,GPT
gpt-4.1-mini,art,VEH,42.00,77.00,65.00,35.00,-12.00,23.00,GPT
gpt-4.1-mini,beam,FEA,30.00,68.00,52.00,38.00,-16.00,22.00,GPT
gpt-4.1-mini,buckling,FEA,27.00,57.00,37.00,30.00,-20.00,10.00,GPT
gpt-4.1-mini,cable,FEA,22.00,70.00,57.00,48.00,-13.00,35.00,GPT
gpt-4.1-mini,camera,SEN,12.00,63.00,27.00,51.00,-36.00,15.00,GPT
gpt-4.1-mini,citybus,VEH,30.00,62.00,64.00,32.00,2.00,34.00,GPT
gpt-4.1-mini,curiosity,RBT,22.00,39.00,39.00,17.00,0.00,17.00,GPT
gpt-4.1-mini,feda,VEH,7.00,37.00,54.00,30.00,17.00,47.00,GPT
gpt-4.1-mini,gator,VEH,27.00,32.00,82.00,5.00,50.00,55.00,GPT
gpt-4.1-mini,gear,MBS,39.00,39.00,47.00,0.00,8.00,8.00,GPT
gpt-4.1-mini,gps_imu,SEN,27.00,47.00,59.00,20.00,12.00,32.00,GPT
gpt-4.1-mini,handler,RBT,25.00,20.00,42.00,-5.00,22.00,17.00,GPT
gpt-4.1-mini,hmmwv,VEH,35.00,37.00,62.00,2.00,25.00,27.00,GPT
gpt-4.1-mini,kraz,VEH,39.00,60.00,32.00,21.00,-28.00,-7.00,GPT
gpt-4.1-mini,lidar,SEN,31.00,22.00,32.00,-9.00,10.00,1.00,GPT
gpt-4.1-mini,m113,VEH,35.00,34.00,14.00,-1.00,-20.00,-21.00,GPT
gpt-4.1-mini,man,VEH,25.00,62.00,12.00,37.00,-50.00,-13.00,GPT
gpt-4.1-mini,mass_spring_damper,MBS,25.00,67.00,49.00,42.00,-18.00,24.00,GPT
gpt-4.1-mini,particles,MBS,30.00,62.00,68.00,32.00,6.00,38.00,GPT
gpt-4.1-mini,pendulum,MBS,27.00,30.00,35.00,3.00,5.00,8.00,GPT
gpt-4.1-mini,rigid_highway,VEH,9.00,87.00,72.00,78.00,-15.00,63.00,GPT
gpt-4.1-mini,rigid_multipatches,VEH,22.00,49.00,68.00,27.00,19.00,46.00,GPT
gpt-4.1-mini,rotor,FEA,32.00,67.00,39.00,35.00,-28.00,7.00,GPT
gpt-4.1-mini,scm,VEH,15.00,54.00,49.00,39.00,-5.00,34.00,GPT
gpt-4.1-mini,scm_hill,VEH,30.00,37.00,27.00,7.00,-10.00,-3.00,GPT
gpt-4.1-mini,sedan,VEH,27.00,42.00,25.00,15.00,-17.00,-2.00,GPT
gpt-4.1-mini,sensros,RBT,29.00,42.00,65.00,13.00,23.00,36.00,GPT
gpt-4.1-mini,slider_crank,MBS,37.00,62.00,52.00,25.00,-10.00,15.00,GPT
gpt-4.1-mini,tablecloth,FEA,22.00,62.00,61.00,40.00,-1.00,39.00,GPT
gpt-4.1-mini,turtlebot,RBT,19.00,51.00,49.00,32.00,-2.00,30.00,GPT
gpt-4.1-mini,uazbus,VEH,25.00,64.00,37.00,39.00,-27.00,12.00,GPT
gpt-4.1-mini,veh_app,SEN,19.00,22.00,32.00,3.00,10.00,13.00,GPT
gpt-4.1-mini,vehros,RBT,20.00,47.00,59.00,27.00,12.00,39.00,GPT
gpt-4.1-mini,viper,RBT,32.00,68.00,34.00,36.00,-34.00,2.00,GPT
gpt-4.1-nano,art,VEH,25.00,61.00,77.00,36.00,16.00,52.00,GPT
gpt-4.1-nano,beam,FEA,25.00,78.00,67.00,53.00,-11.00,42.00,GPT
gpt-4.1-nano,buckling,FEA,21.00,72.00,12.00,51.00,-60.00,-9.00,GPT
gpt-4.1-nano,cable,FEA,30.00,77.00,57.00,47.00,-20.00,27.00,GPT
gpt-4.1-nano,camera,SEN,20.00,57.00,20.00,37.00,-37.00,0.00,GPT
gpt-4.1-nano,citybus,VEH,15.00,65.00,32.00,50.00,-33.00,17.00,GPT
gpt-4.1-nano,curiosity,RBT,27.00,54.00,50.00,27.00,-4.00,23.00,GPT
gpt-4.1-nano,feda,VEH,2.00,32.00,22.00,30.00,-10.00,20.00,GPT
gpt-4.1-nano,gator,VEH,32.00,14.00,67.00,-18.00,53.00,35.00,GPT
gpt-4.1-nano,gear,MBS,5.00,64.00,37.00,59.00,-27.00,32.00,GPT
gpt-4.1-nano,gps_imu,SEN,22.00,70.00,74.00,48.00,4.00,52.00,GPT
gpt-4.1-nano,handler,RBT,25.00,60.00,25.00,35.00,-35.00,0.00,GPT
gpt-4.1-nano,hmmwv,VEH,22.00,25.00,69.00,3.00,44.00,47.00,GPT
gpt-4.1-nano,kraz,VEH,25.00,67.00,25.00,42.00,-42.00,0.00,GPT
gpt-4.1-nano,lidar,SEN,7.00,25.00,14.00,18.00,-11.00,7.00,GPT
gpt-4.1-nano,m113,VEH,15.00,12.00,47.00,-3.00,35.00,32.00,GPT
gpt-4.1-nano,man,VEH,17.00,49.00,37.00,32.00,-12.00,20.00,GPT
gpt-4.1-nano,mass_spring_damper,MBS,5.00,52.00,45.00,47.00,-7.00,40.00,GPT
gpt-4.1-nano,particles,MBS,22.00,67.00,72.00,45.00,5.00,50.00,GPT
gpt-4.1-nano,pendulum,MBS,20.00,52.00,42.00,32.00,-10.00,22.00,GPT
gpt-4.1-nano,rigid_highway,VEH,30.00,67.00,37.00,37.00,-30.00,7.00,GPT
gpt-4.1-nano,rigid_multipatches,VEH,12.00,47.00,67.00,35.00,20.00,55.00,GPT
gpt-4.1-nano,rotor,FEA,37.00,85.00,72.00,48.00,-13.00,35.00,GPT
gpt-4.1-nano,scm,VEH,27.00,37.00,37.00,10.00,0.00,10.00,GPT
gpt-4.1-nano,scm_hill,VEH,30.00,32.00,32.00,2.00,0.00,2.00,GPT
gpt-4.1-nano,sedan,VEH,17.00,47.00,12.00,30.00,-35.00,-5.00,GPT
gpt-4.1-nano,sensros,RBT,25.00,29.00,80.00,4.00,51.00,55.00,GPT
gpt-4.1-nano,slider_crank,MBS,42.00,42.00,64.00,0.00,22.00,22.00,GPT
gpt-4.1-nano,tablecloth,FEA,25.00,52.00,63.00,27.00,11.00,38.00,GPT
gpt-4.1-nano,turtlebot,RBT,2.00,71.00,14.00,69.00,-57.00,12.00,GPT
gpt-4.1-nano,uazbus,VEH,17.00,72.00,62.00,55.00,-10.00,45.00,GPT
gpt-4.1-nano,veh_app,SEN,15.00,27.00,37.00,12.00,10.00,22.00,GPT
gpt-4.1-nano,vehros,RBT,17.00,45.00,35.00,28.00,-10.00,18.00,GPT
gpt-4.1-nano,viper,RBT,27.00,70.00,32.00,43.00,-38.00,5.00,GPT
gpt-4o,art,VEH,27.00,53.00,58.00,26.00,5.00,31.00,GPT
gpt-4o,beam,FEA,9.00,74.00,54.00,65.00,-20.00,45.00,GPT
gpt-4o,buckling,FEA,27.00,47.00,27.00,20.00,-20.00,0.00,GPT
gpt-4o,cable,FEA,27.00,68.00,59.00,41.00,-9.00,32.00,GPT
gpt-4o,camera,SEN,27.00,49.00,12.00,22.00,-37.00,-15.00,GPT
gpt-4o,citybus,VEH,27.00,34.00,44.00,7.00,10.00,17.00,GPT
gpt-4o,curiosity,RBT,19.00,57.00,34.00,38.00,-23.00,15.00,GPT
gpt-4o,feda,VEH,7.00,47.00,49.00,40.00,2.00,42.00,GPT
gpt-4o,gator,VEH,22.00,0.00,68.00,-22.00,68.00,46.00,GPT
gpt-4o,gear,MBS,17.00,16.00,37.00,-1.00,21.00,20.00,GPT
gpt-4o,gps_imu,SEN,25.00,27.00,62.00,2.00,35.00,37.00,GPT
gpt-4o,handler,RBT,17.00,47.00,24.00,30.00,-23.00,7.00,GPT
gpt-4o,hmmwv,VEH,27.00,0.00,59.00,-27.00,59.00,32.00,GPT
gpt-4o,kraz,VEH,25.00,44.00,7.00,19.00,-37.00,-18.00,GPT
gpt-4o,lidar,SEN,15.00,70.00,22.00,55.00,-48.00,7.00,GPT
gpt-4o,m113,VEH,17.00,29.00,32.00,12.00,3.00,15.00,GPT
gpt-4o,man,VEH,19.00,34.00,39.00,15.00,5.00,20.00,GPT
gpt-4o,mass_spring_damper,MBS,10.00,64.00,69.00,54.00,5.00,59.00,GPT
