model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
gemma-2-27b-it,mass_spring_damper,round_3,0.8665,0.7996,0.8012,0.9975,0.8678,0.9813,0.9508,0.7430,0.9813,64,42,29
gemma-2-27b-it,particles,round_1,0.2972,0.0755,0.0825,0.6727,0.3582,0.2921,0.1083,0.1587,0.2889,22,20,27
gemma-2-27b-it,particles,round_2,0.8820,0.8528,0.8560,0.9672,0.8519,0.9822,0.9440,0.9180,0.9822,63,60,65
gemma-2-27b-it,particles,round_3,0.7304,0.7026,0.7212,0.9424,0.5556,0.8239,0.7836,0.7907,0.8239,64,27,35
gemma-2-27b-it,pendulum,round_1,0.3129,0.0927,0.1079,0.6762,0.3750,0.4416,0.2398,0.3553,0.4416,54,22,24
gemma-2-27b-it,pendulum,round_2,0.8368,0.7764,0.7799,0.9602,0.8308,0.9320,0.8876,0.9240,0.9320,37,27,32
gemma-2-27b-it,pendulum,round_3,0.8749,0.8103,0.8128,0.9857,0.8910,0.9866,0.9569,0.8629,0.9866,79,55,65
gemma-2-27b-it,rigid_highway,round_1,0.2220,0.0252,0.0366,0.6623,0.1639,0.3571,0.1194,0.2232,0.3571,37,0,15
gemma-2-27b-it,rigid_highway,round_2,0.9114,0.9169,0.9472,0.9784,0.8031,0.9510,0.9357,0.9510,0.9510,83,77,72
gemma-2-27b-it,rigid_highway,round_3,0.9071,0.9516,0.9527,0.9700,0.7541,0.9856,0.9759,0.9663,0.9856,34,82,60
gemma-2-27b-it,rigid_multipatches,round_1,0.2873,0.0433,0.0518,0.6590,0.3953,0.3797,0.1410,0.2700,0.3657,29,20,27
gemma-2-27b-it,rigid_multipatches,round_2,0.7907,0.7766,0.7839,0.9607,0.6416,0.9373,0.8868,0.9122,0.9373,12,29,34
gemma-2-27b-it,rigid_multipatches,round_3,0.9259,0.8501,0.8537,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,16,77,64
gemma-2-27b-it,rotor,round_1,0.2114,0.0379,0.0763,0.6187,0.1128,0.2970,0.1424,0.2343,0.2970,2,25,17
gemma-2-27b-it,rotor,round_2,0.9547,0.9030,0.9158,1.0000,1.0000,1.0000,1.0000,1.0000,0.9977,58,67,85
gemma-2-27b-it,rotor,round_3,0.8039,0.7151,0.7626,0.8862,0.8517,0.9091,0.8357,0.8791,0.9091,37,32,63
gemma-2-27b-it,scm,round_1,0.2460,0.0309,0.0423,0.6705,0.2404,0.3523,0.1248,0.2453,0.3523,12,0,19
gemma-2-27b-it,scm,round_2,0.6232,0.6312,0.6396,0.9624,0.2597,0.8102,0.7167,0.6812,0.8102,44,34,74
gemma-2-27b-it,scm,round_3,0.6131,0.6328,0.6414,0.8743,0.3038,0.8171,0.7271,0.7048,0.8171,12,45,27
gemma-2-27b-it,scm_hill,round_1,0.2247,0.0187,0.0376,0.6546,0.1878,0.2991,0.0940,0.2090,0.2991,17,10,22
gemma-2-27b-it,scm_hill,round_2,0.6961,0.6471,0.6685,0.9103,0.5585,0.8530,0.7649,0.7269,0.8530,12,14,37
gemma-2-27b-it,scm_hill,round_3,0.7943,0.8804,0.8840,0.9501,0.4626,0.9399,0.9103,0.9319,0.9399,12,12,63
gemma-2-27b-it,sedan,round_1,0.2024,0.0046,0.0124,0.6202,0.1726,0.2303,0.0886,0.1727,0.2303,69,20,2
gemma-2-27b-it,sedan,round_2,0.6685,0.5088,0.5851,0.9427,0.6373,0.7657,0.6354,0.7398,0.7657,12,27,27
gemma-2-27b-it,sedan,round_3,0.5887,0.5699,0.5798,0.8876,0.3172,0.8326,0.7386,0.7543,0.8304,52,12,25
gemma-2-27b-it,sensros,round_1,0.2321,0.0091,0.0149,0.6992,0.2054,0.3346,0.0906,0.2149,0.3346,7,0,12
gemma-2-27b-it,sensros,round_2,0.6353,0.6391,0.6564,0.8808,0.3650,0.8225,0.8043,0.8171,0.8225,27,0,20
gemma-2-27b-it,sensros,round_3,0.6586,0.6510,0.6884,0.8826,0.4125,0.7900,0.7896,0.7900,0.7900,22,37,22
gemma-2-27b-it,slider_crank,round_1,0.3334,0.0836,0.0890,0.7138,0.4474,0.4635,0.2147,0.3601,0.4599,74,2,10
gemma-2-27b-it,slider_crank,round_2,0.8283,0.7009,0.7995,0.9013,0.9113,0.8713,0.8142,0.8288,0.8642,14,64,59
gemma-2-27b-it,slider_crank,round_3,0.8837,0.8887,0.8925,0.9846,0.7689,0.9599,0.9422,0.9574,0.9599,37,49,62
gemma-2-27b-it,tablecloth,round_1,0.2080,0.0250,0.0454,0.6269,0.1346,0.2796,0.0957,0.2039,0.2796,69,12,39
gemma-2-27b-it,tablecloth,round_2,0.6738,0.6902,0.7096,0.8600,0.4355,0.9144,0.8496,0.8399,0.9144,17,54,67
gemma-2-27b-it,tablecloth,round_3,0.7336,0.8640,0.8768,0.9188,0.2748,0.8680,0.8655,0.8680,0.8680,27,14,45
gemma-2-27b-it,turtlebot,round_1,0.2227,0.0560,0.0733,0.5522,0.2093,0.4987,0.2329,0.3829,0.4887,14,0,22
gemma-2-27b-it,turtlebot,round_2,0.8263,0.7529,0.7600,0.8581,0.9342,0.9800,0.9197,0.9233,0.9800,74,62,72
gemma-2-27b-it,turtlebot,round_3,0.4801,0.4019,0.4521,0.8072,0.2590,0.7854,0.6479,0.6488,0.7829,74,37,27
gemma-2-27b-it,uazbus,round_1,0.2241,0.0218,0.0424,0.6529,0.1794,0.3583,0.1431,0.2194,0.3583,69,25,20
gemma-2-27b-it,uazbus,round_2,0.8517,0.8134,0.7987,0.9286,0.8661,0.8949,0.8700,0.8837,0.8949,75,57,77
gemma-2-27b-it,uazbus,round_3,0.8783,0.8948,0.9207,0.9629,0.7349,0.9644,0.9429,0.9002,0.9644,12,22,55
gemma-2-27b-it,veh_app,round_1,0.2003,0.0063,0.0125,0.5686,0.2137,0.3616,0.0978,0.2044,0.3585,2,0,2
gemma-2-27b-it,veh_app,round_2,0.8131,0.7841,0.7902,0.9377,0.7403,0.9139,0.8517,0.8296,0.9139,15,14,39
gemma-2-27b-it,veh_app,round_3,0.7603,0.6927,0.7309,0.9432,0.6744,0.8338,0.8318,0.8338,0.8338,27,20,39
gemma-2-27b-it,vehros,round_1,0.2931,0.0626,0.0732,0.5991,0.4375,0.4077,0.1717,0.2755,0.4022,78,20,10
gemma-2-27b-it,vehros,round_2,0.6048,0.5322,0.5770,0.9005,0.4096,0.8374,0.7877,0.7178,0.8374,42,37,35
gemma-2-27b-it,vehros,round_3,0.7275,0.7092,0.7205,0.9235,0.5568,0.9110,0.8361,0.6874,0.9110,42,35,27
gemma-2-27b-it,viper,round_1,0.2704,0.0737,0.0802,0.6218,0.3060,0.5283,0.2464,0.4198,0.5283,45,17,32
gemma-2-27b-it,viper,round_2,0.9926,0.9899,0.9899,0.9907,1.0000,1.0000,0.9943,0.9915,1.0000,37,82,79
gemma-2-27b-it,viper,round_3,0.7290,0.7066,0.7192,0.9091,0.5812,0.8778,0.7859,0.8199,0.8778,72,12,27
gemma-2-2b-it,art,round_1,0.2103,0.0116,0.0465,0.6150,0.1681,0.2410,0.0645,0.1566,0.2289,25,10,10
gemma-2-2b-it,art,round_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,93,85
gemma-2-2b-it,art,round_3,0.9671,0.9777,0.9777,0.9973,0.9159,1.0000,0.9923,0.9846,1.0000,12,88,90
gemma-2-2b-it,beam,round_1,0.2390,0.0221,0.0393,0.6812,0.2133,0.2366,0.0690,0.1756,0.2366,20,10,25
gemma-2-2b-it,beam,round_2,0.5069,0.3809,0.4330,0.8102,0.4034,0.7795,0.6848,0.6918,0.7795,17,12,32
gemma-2-2b-it,beam,round_3,0.8879,0.9118,0.9147,0.9486,0.7764,0.9529,0.9378,0.9380,0.9529,49,39,39
gemma-2-2b-it,buckling,round_1,0.1787,0.0035,0.0178,0.5670,0.1266,0.2114,0.0698,0.1667,0.2040,20,2,7
gemma-2-2b-it,buckling,round_2,0.3181,0.1087,0.3143,0.6979,0.1514,0.3731,0.3666,0.3706,0.3731,45,12,17
gemma-2-2b-it,buckling,round_3,0.5021,0.3334,0.3534,0.8950,0.4268,0.6898,0.5612,0.6715,0.6898,15,27,17
gemma-2-2b-it,cable,round_1,0.2402,0.0158,0.0196,0.6201,0.3053,0.2270,0.0707,0.1784,0.2270,0,25,10
gemma-2-2b-it,cable,round_2,0.9627,0.9237,0.9271,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,57,53,78
gemma-2-2b-it,cable,round_3,0.4878,0.3749,0.4240,0.7929,0.3592,0.6651,0.5685,0.5991,0.6651,12,32,37
gemma-2-2b-it,camera,round_1,0.1533,0.0012,0.0088,0.4732,0.1301,0.2078,0.0554,0.1558,0.2078,0,7,0
gemma-2-2b-it,camera,round_2,0.6441,0.6073,0.6447,0.8535,0.4706,0.7828,0.7620,0.7626,0.7828,0,2,32
gemma-2-2b-it,camera,round_3,0.5948,0.5801,0.6083,0.8175,0.3735,0.7788,0.7072,0.7712,0.7788,20,27,20
gemma-2-2b-it,citybus,round_1,0.1974,0.0155,0.0436,0.5492,0.1814,0.2701,0.0707,0.1918,0.2661,12,0,10
gemma-2-2b-it,citybus,round_2,0.8994,0.9076,0.9101,0.9565,0.8235,0.9708,0.9503,0.9682,0.9708,7,39,34
gemma-2-2b-it,citybus,round_3,0.8664,0.9615,0.9759,0.9973,0.5310,0.9897,0.9846,0.9897,0.9897,47,67,64
gemma-2-2b-it,curiosity,round_1,0.2311,0.0304,0.0485,0.5446,0.3008,0.2900,0.0729,0.2175,0.2719,30,25,27
gemma-2-2b-it,curiosity,round_2,0.8069,0.8512,0.8638,0.9431,0.5694,0.9211,0.9165,0.9211,0.9211,45,62,68
gemma-2-2b-it,curiosity,round_3,0.5982,0.5433,0.5836,0.8785,0.3872,0.8307,0.7418,0.7198,0.8307,17,35,43
gemma-2-2b-it,feda,round_1,0.2163,0.0230,0.0467,0.6116,0.1839,0.2829,0.0895,0.2171,0.2791,22,20,7
gemma-2-2b-it,feda,round_2,0.7702,0.8571,0.8650,0.9526,0.4060,0.9382,0.9091,0.9330,0.9382,12,12,27
gemma-2-2b-it,feda,round_3,0.6368,0.6772,0.7033,0.9112,0.2555,0.8349,0.8090,0.8072,0.8349,17,37,35
gemma-2-2b-it,gator,round_1,0.2149,0.0182,0.0479,0.6364,0.1570,0.2940,0.0998,0.2029,0.2940,22,20,10
gemma-2-2b-it,gator,round_2,0.3783,0.2051,0.3548,0.7634,0.1900,0.3744,0.2875,0.3635,0.3744,20,35,27
gemma-2-2b-it,gator,round_3,0.9686,0.9526,0.9533,1.0000,0.9686,0.9894,0.9788,0.9894,0.9894,12,65,62
gemma-2-2b-it,gear,round_1,0.1981,0.0243,0.0415,0.5073,0.2195,0.1767,0.0602,0.1400,0.1733,20,7,15
gemma-2-2b-it,gear,round_2,0.5290,0.4788,0.5639,0.7840,0.2892,0.6677,0.6667,0.6677,0.6677,2,20,30
gemma-2-2b-it,gear,round_3,0.3665,0.1798,0.3500,0.7597,0.1766,0.4732,0.4571,0.4604,0.4732,73,12,15
gemma-2-2b-it,gps_imu,round_1,0.2116,0.0133,0.0295,0.6545,0.1492,0.3283,0.0816,0.1958,0.3283,20,0,15
gemma-2-2b-it,gps_imu,round_2,0.8689,0.8346,0.8353,0.9451,0.8605,0.9341,0.9264,0.9096,0.9341,12,37,32
gemma-2-2b-it,gps_imu,round_3,0.8770,0.8378,0.8401,0.9639,0.8661,0.9000,0.8776,0.8796,0.9000,12,22,32
gemma-2-2b-it,handler,round_1,0.1512,0.0026,0.0147,0.4221,0.1656,0.0368,0.0140,0.0305,0.0368,20,10,7
gemma-2-2b-it,handler,round_2,0.5670,0.2609,0.4284,0.5788,0.0000,0.5213,0.5080,0.5213,0.5213,25,57,32
gemma-2-2b-it,handler,round_3,0.5137,0.4447,0.4555,0.7519,0.4027,0.6780,0.5669,0.5995,0.6780,29,20,22
gemma-2-2b-it,hmmwv,round_1,0.1686,0.0247,0.0491,0.4435,0.1570,0.2885,0.0939,0.2144,0.2846,25,20,10
gemma-2-2b-it,hmmwv,round_2,0.6031,0.6210,0.6485,0.8644,0.2783,0.8097,0.7653,0.7843,0.8097,86,25,27
gemma-2-2b-it,hmmwv,round_3,0.6670,0.7403,0.7362,0.8690,0.3224,0.9216,0.8581,0.8094,0.9193,67,29,44
gemma-2-2b-it,kraz,round_1,0.1513,0.0089,0.0291,0.4463,0.1211,0.0901,0.0249,0.0839,0.0886,10,0,5
gemma-2-2b-it,kraz,round_2,0.8442,0.7892,0.7834,0.9459,0.8583,0.9110,0.8897,0.8806,0.9110,17,42,49
gemma-2-2b-it,kraz,round_3,0.4629,0.3389,0.3503,0.8702,0.2921,0.7882,0.5959,0.6317,0.7882,0,12,30
gemma-2-2b-it,lidar,round_1,0.2045,0.0092,0.0247,0.5655,0.2186,0.3152,0.0873,0.2065,0.3152,12,0,0
gemma-2-2b-it,lidar,round_2,0.7233,0.7466,0.7645,0.9523,0.4296,0.8517,0.8300,0.8517,0.8517,15,29,27
gemma-2-2b-it,lidar,round_3,0.3291,0.1819,0.2234,0.6117,0.2992,0.5451,0.3535,0.3885,0.5451,0,0,25
gemma-2-2b-it,m113,round_1,0.1488,0.0068,0.0297,0.4386,0.1200,0.0741,0.0214,0.0703,0.0703,20,20,10
gemma-2-2b-it,m113,round_2,0.5887,0.5705,0.6173,0.8733,0.2938,0.7261,0.6970,0.7230,0.7261,22,25,32
gemma-2-2b-it,m113,round_3,0.8590,0.9079,0.9120,0.9506,0.6653,0.9555,0.9457,0.9458,0.9555,20,57,58
gemma-2-2b-it,man,round_1,0.1813,0.0044,0.0120,0.5565,0.1525,0.2435,0.0802,0.2076,0.2435,22,2,10
gemma-2-2b-it,man,round_2,0.9127,0.9537,0.9553,0.9864,0.7555,0.9702,0.9624,0.9702,0.9702,12,54,52
gemma-2-2b-it,man,round_3,0.5777,0.5714,0.6299,0.8741,0.2353,0.7956,0.7689,0.7795,0.7956,12,45,37
gemma-2-2b-it,mass_spring_damper,round_1,0.2402,0.0487,0.0563,0.5880,0.2679,0.2948,0.1221,0.2312,0.2948,4,12,22
gemma-2-2b-it,mass_spring_damper,round_2,0.7650,0.7354,0.7411,0.9104,0.6731,0.9034,0.8595,0.7483,0.9034,59,22,34
gemma-2-2b-it,mass_spring_damper,round_3,0.8372,0.7614,0.7638,0.9724,0.8512,0.9646,0.9362,0.8373,0.9646,64,59,47
gemma-2-2b-it,particles,round_1,0.2407,0.0467,0.0550,0.5876,0.2736,0.1921,0.0491,0.1394,0.1921,12,0,10
gemma-2-2b-it,particles,round_2,0.8802,0.8686,0.8818,0.9803,0.7901,0.9683,0.9376,0.8226,0.9683,52,52,57
gemma-2-2b-it,particles,round_3,0.7784,0.8168,0.8294,0.9554,0.5118,0.8946,0.8750,0.8946,0.8946,42,17,47
gemma-2-2b-it,pendulum,round_1,0.2900,0.0429,0.0510,0.6598,0.4062,0.3117,0.1044,0.2649,0.3117,0,0,25
gemma-2-2b-it,pendulum,round_2,0.8371,0.8026,0.8038,0.9880,0.7538,0.9402,0.9040,0.9203,0.9402,12,27,29
gemma-2-2b-it,pendulum,round_3,0.8782,0.7828,0.7869,0.9713,0.9716,0.9770,0.9362,0.9229,0.9770,72,47,44
gemma-2-2b-it,rigid_highway,round_1,0.2155,0.0096,0.0434,0.6494,0.1597,0.3363,0.0844,0.1856,0.3363,0,0,5
gemma-2-2b-it,rigid_highway,round_2,0.8807,0.8741,0.9433,0.9640,0.7413,0.9128,0.8913,0.8596,0.9128,88,45,57
gemma-2-2b-it,rigid_highway,round_3,0.8849,0.9360,0.9379,0.9650,0.7008,0.9829,0.9731,0.9756,0.9829,17,52,52
gemma-2-2b-it,rigid_multipatches,round_1,0.2101,0.0213,0.0477,0.6014,0.1700,0.1748,0.0561,0.1469,0.1713,12,20,27
gemma-2-2b-it,rigid_multipatches,round_2,0.7375,0.7547,0.7785,0.9486,0.4682,0.8960,0.8620,0.8792,0.8960,29,22,29
gemma-2-2b-it,rigid_multipatches,round_3,0.8469,0.8218,0.8259,0.9770,0.7628,0.9956,0.9934,0.9913,0.9956,32,59,49
gemma-2-2b-it,rotor,round_1,0.1885,0.0137,0.0296,0.5490,0.1617,0.2399,0.0553,0.1686,0.2366,29,10,29
gemma-2-2b-it,rotor,round_2,0.9547,0.9030,0.9158,1.0000,1.0000,1.0000,1.0000,1.0000,0.9977,45,62,78
gemma-2-2b-it,rotor,round_3,0.7958,0.7406,0.7402,0.9011,0.8013,0.9445,0.8979,0.9243,0.9445,27,54,59
gemma-2-2b-it,scm,round_1,0.2307,0.0251,0.0464,0.6156,0.2356,0.2588,0.0866,0.1804,0.2549,12,0,15
gemma-2-2b-it,scm,round_2,0.4111,0.3164,0.3554,0.7307,0.2418,0.6113,0.5016,0.5410,0.6113,12,20,30
gemma-2-2b-it,scm,round_3,0.6304,0.6529,0.6562,0.8762,0.3363,0.7742,0.6768,0.6613,0.7706,12,30,27
gemma-2-2b-it,scm_hill,round_1,0.1842,0.0098,0.0328,0.5627,0.1315,0.2548,0.0736,0.1853,0.2510,24,2,12
gemma-2-2b-it,scm_hill,round_2,0.6801,0.6507,0.6643,0.9027,0.5029,0.7500,0.7012,0.6793,0.7448,0,22,12
gemma-2-2b-it,scm_hill,round_3,0.8449,0.8927,0.8967,0.9557,0.6344,0.9437,0.9140,0.9303,0.9437,54,52,44
gemma-2-2b-it,sedan,round_1,0.1929,0.0041,0.0117,0.6230,0.1327,0.1542,0.0652,0.1298,0.1542,20,7,17
gemma-2-2b-it,sedan,round_2,0.6070,0.3973,0.5510,0.9406,0.5392,0.6913,0.5681,0.6571,0.6913,12,12,37
gemma-2-2b-it,sedan,round_3,0.6316,0.6401,0.6515,0.8899,0.3448,0.7956,0.7225,0.7311,0.7956,37,17,25
gemma-2-2b-it,sensros,round_1,0.2051,0.0061,0.0094,0.5996,0.2054,0.2347,0.0613,0.1932,0.2347,12,0,20
gemma-2-2b-it,sensros,round_2,0.7217,0.6678,0.7031,0.9235,0.5925,0.8444,0.8333,0.8426,0.8444,12,2,15
gemma-2-2b-it,sensros,round_3,0.6616,0.6649,0.6965,0.8826,0.4025,0.7967,0.7963,0.7967,0.7967,9,39,32
gemma-2-2b-it,slider_crank,round_1,0.2649,0.0380,0.0427,0.6051,0.3737,0.3358,0.0974,0.2537,0.3358,27,0,25
gemma-2-2b-it,slider_crank,round_2,0.7204,0.7699,0.7839,0.8883,0.4395,0.8752,0.8079,0.8059,0.8752,47,30,54
gemma-2-2b-it,slider_crank,round_3,0.8957,0.8911,0.8934,0.9974,0.8008,0.9755,0.9509,0.9730,0.9755,64,72,43
gemma-2-2b-it,tablecloth,round_1,0.1472,0.0005,0.0084,0.4569,0.1231,0.1869,0.0488,0.1421,0.1869,22,12,7
gemma-2-2b-it,tablecloth,round_2,0.6397,0.6895,0.6971,0.8560,0.3161,0.9350,0.8709,0.8435,0.9350,14,54,39
gemma-2-2b-it,tablecloth,round_3,0.7331,0.8633,0.8753,0.9188,0.2748,0.8670,0.8623,0.8670,0.8670,12,24,32
gemma-2-2b-it,turtlebot,round_1,0.2392,0.0372,0.0474,0.5391,0.3333,0.4000,0.1080,0.2667,0.4000,5,5,20
gemma-2-2b-it,turtlebot,round_2,0.7377,0.6791,0.6900,0.8512,0.7303,0.8765,0.8098,0.8313,0.8730,34,39,49
gemma-2-2b-it,turtlebot,round_3,0.4339,0.3442,0.4091,0.7880,0.1942,0.7071,0.6235,0.6374,0.7071,62,32,38
gemma-2-2b-it,uazbus,round_1,0.2095,0.0096,0.0324,0.6033,0.1928,0.2403,0.0736,0.1874,0.2403,0,2,10
gemma-2-2b-it,uazbus,round_2,0.8368,0.7835,0.7848,0.9286,0.8504,0.9035,0.9008,0.9035,0.9035,37,42,57
gemma-2-2b-it,uazbus,round_3,0.8602,0.9116,0.9159,0.9505,0.6627,0.9539,0.9438,0.9440,0.9539,12,62,37
gemma-2-2b-it,veh_app,round_1,0.1754,0.0069,0.0117,0.4853,0.1976,0.2667,0.0718,0.1919,0.2634,0,0,10
gemma-2-2b-it,veh_app,round_2,0.7377,0.7205,0.7574,0.8843,0.5884,0.8410,0.8367,0.8410,0.8410,15,57,42
gemma-2-2b-it,veh_app,round_3,0.7393,0.6531,0.6887,0.9386,0.6767,0.8432,0.8196,0.8083,0.8432,17,37,34
gemma-2-2b-it,vehros,round_1,0.2318,0.0303,0.0345,0.5766,0.2857,0.3039,0.0944,0.2155,0.2983,12,2,2
gemma-2-2b-it,vehros,round_2,0.5303,0.4349,0.5124,0.8602,0.3138,0.7554,0.7078,0.7354,0.7554,37,54,27
gemma-2-2b-it,vehros,round_3,0.6907,0.7205,0.7372,0.9095,0.3956,0.8833,0.8411,0.8216,0.8833,45,34,32
gemma-2-2b-it,viper,round_1,0.2134,0.0414,0.0553,0.4958,0.2612,0.3862,0.1293,0.2437,0.3862,0,7,25
gemma-2-2b-it,viper,round_2,0.7113,0.7635,0.7826,0.9288,0.3706,0.8696,0.8530,0.8599,0.8696,20,42,37
gemma-2-2b-it,viper,round_3,0.6972,0.7049,0.7131,0.9091,0.4615,0.8665,0.7956,0.8315,0.8665,72,29,34
gemma-2-9b-it,art,round_1,0.2077,0.0152,0.0300,0.6176,0.1681,0.2403,0.0674,0.1802,0.2403,27,12,7
gemma-2-9b-it,art,round_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,90,78
gemma-2-9b-it,art,round_3,0.9671,0.9777,0.9777,0.9973,0.9159,1.0000,0.9923,0.9846,1.0000,12,90,90
gemma-2-9b-it,beam,round_1,0.2454,0.0167,0.0375,0.7330,0.1943,0.2863,0.0903,0.1881,0.2863,22,30,15
gemma-2-9b-it,beam,round_2,0.7369,0.6181,0.6255,0.9659,0.7382,0.8868,0.8595,0.8059,0.8868,17,0,17
gemma-2-9b-it,beam,round_3,0.9187,0.9513,0.9523,0.9743,0.7967,0.9828,0.9802,0.9803,0.9828,42,62,67
gemma-2-9b-it,buckling,round_1,0.1884,0.0038,0.0200,0.6430,0.0868,0.2567,0.0702,0.1797,0.2567,25,27,17
gemma-2-9b-it,buckling,round_2,0.3063,0.1079,0.3124,0.6931,0.1117,0.3711,0.3670,0.3711,0.3711,40,45,0
gemma-2-9b-it,buckling,round_3,0.5439,0.4516,0.4800,0.8918,0.3524,0.7301,0.6481,0.7116,0.7301,22,20,5
gemma-2-9b-it,cable,round_1,0.3039,0.0410,0.0441,0.6953,0.4351,0.3131,0.1080,0.2196,0.3131,20,25,25
gemma-2-9b-it,cable,round_2,0.9627,0.9237,0.9271,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,43,80,72
gemma-2-9b-it,cable,round_3,0.5149,0.4078,0.4453,0.8053,0.4013,0.7231,0.6341,0.6582,0.7231,15,12,32
gemma-2-9b-it,camera,round_1,0.1900,0.0031,0.0078,0.5408,0.2082,0.2747,0.0444,0.1773,0.2718,20,20,12
gemma-2-9b-it,camera,round_2,0.6940,0.7087,0.7433,0.9040,0.4202,0.8810,0.8807,0.8810,0.8810,7,7,0
gemma-2-9b-it,camera,round_3,0.7290,0.7397,0.7608,0.9250,0.4903,0.9041,0.8778,0.8994,0.9041,12,0,12
gemma-2-9b-it,citybus,round_1,0.2375,0.0260,0.0319,0.6311,0.2611,0.2969,0.0788,0.1892,0.2969,32,0,12
gemma-2-9b-it,citybus,round_2,0.7197,0.8110,0.8181,0.9429,0.3067,0.9615,0.9409,0.9513,0.9615,12,12,37
gemma-2-9b-it,citybus,round_3,0.9939,0.9878,0.9880,1.0000,1.0000,0.9961,0.9936,0.9961,0.9961,12,75,75
gemma-2-9b-it,curiosity,round_1,0.2101,0.0089,0.0328,0.6116,0.1870,0.3302,0.1342,0.2286,0.3302,47,32,27
gemma-2-9b-it,curiosity,round_2,0.8351,0.8767,0.8818,0.9431,0.6389,0.9512,0.9184,0.9472,0.9512,17,65,62
gemma-2-9b-it,curiosity,round_3,0.6128,0.5224,0.5778,0.8870,0.4638,0.8088,0.7467,0.7387,0.8088,62,34,40
gemma-2-9b-it,feda,round_1,0.2389,0.0193,0.0332,0.6970,0.2063,0.3540,0.1243,0.2301,0.3540,12,20,17
gemma-2-9b-it,feda,round_2,0.8370,0.7960,0.8168,0.9316,0.8034,0.8649,0.8153,0.8526,0.8649,12,0,39
gemma-2-9b-it,feda,round_3,0.7319,0.6825,0.6905,0.9112,0.6435,0.8312,0.7628,0.7572,0.8292,27,22,37
gemma-2-9b-it,gator,round_1,0.2484,0.0288,0.0450,0.6777,0.2422,0.2881,0.0773,0.2010,0.2881,22,25,12
gemma-2-9b-it,gator,round_2,0.7543,0.6808,0.7261,0.9280,0.6822,0.8706,0.7909,0.8064,0.8669,12,42,49
gemma-2-9b-it,gator,round_3,0.9552,0.9550,0.9556,1.0000,0.9103,0.9947,0.9815,0.9894,0.9947,12,75,75
gemma-2-9b-it,gear,round_1,0.2306,0.0267,0.0426,0.6092,0.2439,0.3507,0.1282,0.2437,0.3477,27,0,30
gemma-2-9b-it,gear,round_2,0.5084,0.4299,0.5332,0.8058,0.2648,0.6476,0.6465,0.6476,0.6476,40,20,15
gemma-2-9b-it,gear,round_3,0.3687,0.1823,0.3546,0.7657,0.1723,0.4700,0.4645,0.4614,0.4700,20,17,20
gemma-2-9b-it,gps_imu,round_1,0.2010,0.0073,0.0281,0.6159,0.1525,0.2593,0.0743,0.1919,0.2593,24,0,0
gemma-2-9b-it,gps_imu,round_2,0.7793,0.8061,0.8082,0.9451,0.5579,0.9350,0.9178,0.9067,0.9350,88,12,59
gemma-2-9b-it,gps_imu,round_3,0.9264,0.8940,0.8941,0.9711,0.9464,0.9515,0.9459,0.9350,0.9515,14,59,55
gemma-2-9b-it,handler,round_1,0.2034,0.0085,0.0145,0.5741,0.2166,0.4203,0.2233,0.2850,0.4203,12,25,35
gemma-2-9b-it,handler,round_2,0.9775,0.9635,0.9758,0.9707,0.0000,0.9964,0.9928,0.9964,0.9964,70,85,55
gemma-2-9b-it,handler,round_3,0.6428,0.5783,0.5960,0.8405,0.5566,0.7908,0.6752,0.6939,0.7908,64,30,25
gemma-2-9b-it,hmmwv,round_1,0.2214,0.0155,0.0315,0.6501,0.1883,0.3117,0.0738,0.1996,0.3117,12,0,22
gemma-2-9b-it,hmmwv,round_2,0.5832,0.5883,0.5931,0.8538,0.2977,0.7156,0.6363,0.6639,0.7115,12,12,30
gemma-2-9b-it,hmmwv,round_3,0.6666,0.7284,0.7246,0.8667,0.3469,0.9116,0.8415,0.8047,0.9116,44,59,47
gemma-2-9b-it,kraz,round_1,0.1820,0.0069,0.0274,0.5593,0.1345,0.2725,0.1087,0.2164,0.2685,0,22,19
gemma-2-9b-it,kraz,round_2,0.8381,0.7883,0.7789,0.9271,0.8583,0.8904,0.8627,0.8584,0.8904,22,37,69
gemma-2-9b-it,kraz,round_3,0.5613,0.4926,0.5068,0.8976,0.3483,0.8388,0.6679,0.7210,0.8388,12,20,30
gemma-2-9b-it,lidar,round_1,0.2205,0.0043,0.0092,0.6220,0.2465,0.3855,0.0893,0.2175,0.3855,7,22,22
gemma-2-9b-it,lidar,round_2,0.7340,0.7234,0.7373,0.9125,0.5630,0.8906,0.8487,0.8687,0.8906,0,0,15
gemma-2-9b-it,lidar,round_3,0.4113,0.2693,0.3753,0.7092,0.2913,0.6171,0.5408,0.5682,0.6171,25,0,17
gemma-2-9b-it,m113,round_1,0.2082,0.0123,0.0308,0.6162,0.1733,0.3091,0.1009,0.2048,0.3091,19,20,20
