Model,System,Round,Score Document,Score Reference,Score Ref+Doc
deepseek-r1,art,first,0,1,9
deepseek-r1,art,second,0,2,
deepseek-r1,art,third,85,6,
gemma-2-2b-it,camera,gpt-4o-mini,second,10,4,6
gemma-2-2b-it,camera,gpt-4o-mini,third,10,2,6
gemma-2-2b-it,citybus,first,0,3,9
gemma-2-2b-it,citybus,second,0,2,9
gemma-2-2b-it,citybus,third,0,4,9
gemma-2-2b-it,citybus,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,citybus,gpt-4.1-mini,second,0,,0
gemma-2-2b-it,citybus,gpt-4.1-mini,third,0,50,0
gemma-2-2b-it,citybus,gpt-4.1-nano,first,20,,0
gemma-2-2b-it,citybus,gpt-4.1-nano,second,20,6,
gemma-2-2b-it,citybus,gpt-4.1-nano,third,20,3,
gemma-2-2b-it,citybus,gpt-4o-mini,first,0,,9
gemma-2-2b-it,citybus,gpt-4o-mini,second,10,2,9
gemma-2-2b-it,citybus,gpt-4o-mini,third,10,,9
gemma-2-2b-it,curiosity,first,0,0,
gemma-2-2b-it,curiosity,second,0,,10
gemma-2-2b-it,curiosity,third,0,7,10
gemma-2-2b-it,curiosity,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,curiosity,gpt-4.1-mini,second,0,0,
gemma-2-2b-it,curiosity,gpt-4.1-mini,third,0,,10
gemma-2-2b-it,curiosity,gpt-4.1-nano,first,10,,
gemma-2-2b-it,curiosity,gpt-4.1-nano,second,20,,7
gemma-2-2b-it,curiosity,gpt-4.1-nano,third,20,9,
gemma-2-2b-it,curiosity,gpt-4o-mini,first,0,0,
gemma-2-2b-it,curiosity,gpt-4o-mini,second,5,3,9
gemma-2-2b-it,curiosity,gpt-4o-mini,third,0,2,9
gemma-2-2b-it,feda,first,10,2,
gemma-2-2b-it,feda,second,10,2,9
gemma-2-2b-it,feda,third,10,4,9
gemma-2-2b-it,feda,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,feda,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,feda,gpt-4.1-mini,third,0,0,
gemma-2-2b-it,feda,gpt-4.1-nano,first,20,,
gemma-2-2b-it,feda,gpt-4.1-nano,second,15,,
gemma-2-2b-it,feda,gpt-4.1-nano,third,20,6,
gemma-2-2b-it,feda,gpt-4o-mini,first,10,8,9
gemma-2-2b-it,feda,gpt-4o-mini,second,0,,
gemma-2-2b-it,feda,gpt-4o-mini,third,10,3,9
gemma-2-2b-it,gator,first,0,4,9
gemma-2-2b-it,gator,second,0,2,9
gemma-2-2b-it,gator,third,0,8,
gemma-2-2b-it,gator,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,gator,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,gator,gpt-4.1-mini,third,0,,0
gemma-2-2b-it,gator,gpt-4.1-nano,first,10,3,
gemma-2-2b-it,gator,gpt-4.1-nano,second,20,1,
gemma-2-2b-it,gator,gpt-4.1-nano,third,10,,
gemma-2-2b-it,gator,gpt-4o-mini,first,10,0,9
gemma-2-2b-it,gator,gpt-4o-mini,second,10,3,7
gemma-2-2b-it,gator,gpt-4o-mini,third,0,65,10
gemma-2-2b-it,gear,first,10,8,7
gemma-2-2b-it,gear,second,0,,8
gemma-2-2b-it,gear,third,10,30,10
gemma-2-2b-it,gear,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,gear,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,gear,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,gear,gpt-4.1-nano,first,20,7,
gemma-2-2b-it,gear,gpt-4.1-nano,second,20,6,
gemma-2-2b-it,gear,gpt-4.1-nano,third,20,88,
gemma-2-2b-it,gear,gpt-4o-mini,first,10,,7
gemma-2-2b-it,gear,gpt-4o-mini,second,10,0,
gemma-2-2b-it,gear,gpt-4o-mini,third,0,9,
gemma-2-2b-it,gps_imu,first,0,,9
gemma-2-2b-it,gps_imu,second,0,1,10
gemma-2-2b-it,gps_imu,third,0,2,9
gemma-2-2b-it,gps_imu,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,gps_imu,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,gps_imu,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,gps_imu,gpt-4.1-nano,first,10,80,
gemma-2-2b-it,gps_imu,gpt-4.1-nano,second,10,0,
gemma-2-2b-it,gps_imu,gpt-4.1-nano,third,20,,
gemma-2-2b-it,gps_imu,gpt-4o-mini,first,10,3,
gemma-2-2b-it,gps_imu,gpt-4o-mini,second,0,3,
gemma-2-2b-it,gps_imu,gpt-4o-mini,third,10,8,8
gemma-2-2b-it,handler,first,10,,10
gemma-2-2b-it,handler,second,10,2,10
gemma-2-2b-it,handler,third,10,0,9
gemma-2-2b-it,handler,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,handler,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,handler,gpt-4.1-mini,third,0,,0
gemma-2-2b-it,handler,gpt-4.1-nano,first,15,,
gemma-2-2b-it,handler,gpt-4.1-nano,second,20,,
gemma-2-2b-it,handler,gpt-4.1-nano,third,10,9,
gemma-2-2b-it,handler,gpt-4o-mini,first,0,9,10
gemma-2-2b-it,handler,gpt-4o-mini,second,10,,10
gemma-2-2b-it,handler,gpt-4o-mini,third,0,10,9
gemma-2-2b-it,hmmwv,first,10,2,10
gemma-2-2b-it,hmmwv,second,0,2,9
gemma-2-2b-it,hmmwv,third,0,2,9
gemma-2-2b-it,hmmwv,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,hmmwv,gpt-4.1-mini,second,0,,10
gemma-2-2b-it,hmmwv,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,hmmwv,gpt-4.1-nano,first,0,0,
gemma-2-2b-it,hmmwv,gpt-4.1-nano,second,10,4,
gemma-2-2b-it,hmmwv,gpt-4.1-nano,third,20,75,
gemma-2-2b-it,hmmwv,gpt-4o-mini,first,10,35,9
gemma-2-2b-it,hmmwv,gpt-4o-mini,second,0,4,10
gemma-2-2b-it,hmmwv,gpt-4o-mini,third,0,0,10
gemma-2-2b-it,kraz,first,10,3,9
gemma-2-2b-it,kraz,second,10,13,
gemma-2-2b-it,kraz,third,10,,9
gemma-2-2b-it,kraz,gpt-4.1-mini,first,0,0,10
gemma-2-2b-it,kraz,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,kraz,gpt-4.1-mini,third,0,,10
gemma-2-2b-it,kraz,gpt-4.1-nano,first,40,3,
gemma-2-2b-it,kraz,gpt-4.1-nano,second,0,0,
gemma-2-2b-it,kraz,gpt-4.1-nano,third,10,55,
gemma-2-2b-it,kraz,gpt-4o-mini,first,0,0,10
gemma-2-2b-it,kraz,gpt-4o-mini,second,10,2,8
gemma-2-2b-it,kraz,gpt-4o-mini,third,10,,10
gemma-2-2b-it,lidar,first,0,3,
gemma-2-2b-it,lidar,second,10,12,
gemma-2-2b-it,lidar,third,0,3,
gemma-2-2b-it,lidar,gpt-4.1-mini,first,0,,
gemma-2-2b-it,lidar,gpt-4.1-mini,second,0,0,
gemma-2-2b-it,lidar,gpt-4.1-mini,third,0,10,
gemma-2-2b-it,lidar,gpt-4.1-nano,first,20,15,
gemma-2-2b-it,lidar,gpt-4.1-nano,second,20,,
gemma-2-2b-it,lidar,gpt-4.1-nano,third,20,72,
gemma-2-2b-it,lidar,gpt-4o-mini,first,0,,6
gemma-2-2b-it,lidar,gpt-4o-mini,second,10,5,5
gemma-2-2b-it,lidar,gpt-4o-mini,third,0,5,8
gemma-2-2b-it,m113,first,0,1,10
gemma-2-2b-it,m113,second,10,4,
gemma-2-2b-it,m113,third,10,4,
gemma-2-2b-it,m113,gpt-4.1-mini,first,0,0,10
gemma-2-2b-it,m113,gpt-4.1-mini,second,0,,0
gemma-2-2b-it,m113,gpt-4.1-mini,third,0,0,5
gemma-2-2b-it,m113,gpt-4.1-nano,first,10,4,
gemma-2-2b-it,m113,gpt-4.1-nano,second,10,,
gemma-2-2b-it,m113,gpt-4.1-nano,third,20,1,
gemma-2-2b-it,m113,gpt-4o-mini,first,0,1,9
gemma-2-2b-it,m113,gpt-4o-mini,second,5,0,
gemma-2-2b-it,m113,gpt-4o-mini,third,10,,9
gemma-2-2b-it,man,first,0,,10
gemma-2-2b-it,man,second,0,3,
gemma-2-2b-it,man,third,0,4,
gemma-2-2b-it,man,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,man,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,man,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,man,gpt-4.1-nano,first,40,,
gemma-2-2b-it,man,gpt-4.1-nano,second,25,0,
gemma-2-2b-it,man,gpt-4.1-nano,third,15,2,
gemma-2-2b-it,man,gpt-4o-mini,first,0,9,
gemma-2-2b-it,man,gpt-4o-mini,second,10,1,9
gemma-2-2b-it,man,gpt-4o-mini,third,5,65,
gemma-2-2b-it,mass_spring_damper,first,10,4,10
gemma-2-2b-it,mass_spring_damper,second,10,3,9
gemma-2-2b-it,mass_spring_damper,third,0,,10
gemma-2-2b-it,mass_spring_damper,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,mass_spring_damper,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,mass_spring_damper,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,mass_spring_damper,gpt-4.1-nano,first,20,1,
gemma-2-2b-it,mass_spring_damper,gpt-4.1-nano,second,10,,
gemma-2-2b-it,mass_spring_damper,gpt-4.1-nano,third,20,8,
gemma-2-2b-it,mass_spring_damper,gpt-4o-mini,first,0,2,10
gemma-2-2b-it,mass_spring_damper,gpt-4o-mini,second,10,,9
gemma-2-2b-it,mass_spring_damper,gpt-4o-mini,third,0,58,10
gemma-2-2b-it,particles,first,10,,
gemma-2-2b-it,particles,second,0,0,
gemma-2-2b-it,particles,third,0,,9
gemma-2-2b-it,particles,gpt-4.1-mini,first,0,0,10
gemma-2-2b-it,particles,gpt-4.1-mini,second,0,0,10
gemma-2-2b-it,particles,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,particles,gpt-4.1-nano,first,20,6,
gemma-2-2b-it,particles,gpt-4.1-nano,second,20,,
gemma-2-2b-it,particles,gpt-4.1-nano,third,20,,
gemma-2-2b-it,particles,gpt-4o-mini,first,10,0,10
gemma-2-2b-it,particles,gpt-4o-mini,second,10,60,
gemma-2-2b-it,particles,gpt-4o-mini,third,10,,9
gemma-2-2b-it,pendulum,first,0,8,10
gemma-2-2b-it,pendulum,second,10,4,8
gemma-2-2b-it,pendulum,third,5,3,10
gemma-2-2b-it,pendulum,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,pendulum,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,pendulum,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,pendulum,gpt-4.1-nano,first,20,5,
gemma-2-2b-it,pendulum,gpt-4.1-nano,second,20,1,4
gemma-2-2b-it,pendulum,gpt-4.1-nano,third,10,25,
gemma-2-2b-it,pendulum,gpt-4o-mini,first,0,0,10
gemma-2-2b-it,pendulum,gpt-4o-mini,second,5,0,8
gemma-2-2b-it,pendulum,gpt-4o-mini,third,0,7,10
gemma-2-2b-it,rigid_highway,first,0,0,9
gemma-2-2b-it,rigid_highway,second,10,2,
gemma-2-2b-it,rigid_highway,third,10,1,
gemma-2-2b-it,rigid_highway,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,rigid_highway,gpt-4.1-mini,second,0,0,10
gemma-2-2b-it,rigid_highway,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,rigid_highway,gpt-4.1-nano,first,10,3,
gemma-2-2b-it,rigid_highway,gpt-4.1-nano,second,20,0,
gemma-2-2b-it,rigid_highway,gpt-4.1-nano,third,20,,
gemma-2-2b-it,rigid_highway,gpt-4o-mini,first,0,,9
gemma-2-2b-it,rigid_highway,gpt-4o-mini,second,10,30,9
gemma-2-2b-it,rigid_highway,gpt-4o-mini,third,0,6,8
gemma-2-2b-it,rigid_multipatches,first,0,,7
gemma-2-2b-it,rigid_multipatches,second,0,4,
gemma-2-2b-it,rigid_multipatches,third,10,4,7
gemma-2-2b-it,rigid_multipatches,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,rigid_multipatches,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,rigid_multipatches,gpt-4.1-mini,third,0,0,5
gemma-2-2b-it,rigid_multipatches,gpt-4.1-nano,first,25,0,
gemma-2-2b-it,rigid_multipatches,gpt-4.1-nano,second,20,87,
gemma-2-2b-it,rigid_multipatches,gpt-4.1-nano,third,20,,
gemma-2-2b-it,rigid_multipatches,gpt-4o-mini,first,0,,8
gemma-2-2b-it,rigid_multipatches,gpt-4o-mini,second,10,3,7
gemma-2-2b-it,rigid_multipatches,gpt-4o-mini,third,0,0,7
gemma-2-2b-it,rotor,first,10,50,
gemma-2-2b-it,rotor,second,10,3,
gemma-2-2b-it,rotor,third,0,3,10
gemma-2-2b-it,rotor,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,rotor,gpt-4.1-mini,second,0,0,
gemma-2-2b-it,rotor,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,rotor,gpt-4.1-nano,first,20,71,
gemma-2-2b-it,rotor,gpt-4.1-nano,second,20,0,
gemma-2-2b-it,rotor,gpt-4.1-nano,third,15,1,
gemma-2-2b-it,rotor,gpt-4o-mini,first,0,9,9
gemma-2-2b-it,rotor,gpt-4o-mini,second,0,2,8
gemma-2-2b-it,rotor,gpt-4o-mini,third,0,0,9
gemma-2-2b-it,scm,first,0,2,8
gemma-2-2b-it,scm,second,10,8,9
gemma-2-2b-it,scm,third,0,3,5
gemma-2-2b-it,scm,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,scm,gpt-4.1-mini,second,0,0,10
gemma-2-2b-it,scm,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,scm,gpt-4.1-nano,first,10,7,
gemma-2-2b-it,scm,gpt-4.1-nano,second,15,77,9
gemma-2-2b-it,scm,gpt-4.1-nano,third,20,2,
gemma-2-2b-it,scm,gpt-4o-mini,first,0,,9
gemma-2-2b-it,scm,gpt-4o-mini,second,0,,9
gemma-2-2b-it,scm,gpt-4o-mini,third,0,5,9
gemma-2-2b-it,scm_hill,first,0,,
gemma-2-2b-it,scm_hill,second,10,5,9
gemma-2-2b-it,scm_hill,third,10,2,9
gemma-2-2b-it,scm_hill,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,scm_hill,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,scm_hill,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,scm_hill,gpt-4.1-nano,first,20,,
gemma-2-2b-it,scm_hill,gpt-4.1-nano,second,20,4,
gemma-2-2b-it,scm_hill,gpt-4.1-nano,third,20,5,
gemma-2-2b-it,scm_hill,gpt-4o-mini,first,0,,9
gemma-2-2b-it,scm_hill,gpt-4o-mini,second,5,5,4
gemma-2-2b-it,scm_hill,gpt-4o-mini,third,0,5,8
gemma-2-2b-it,sedan,first,0,0,9
gemma-2-2b-it,sedan,second,0,6,
gemma-2-2b-it,sedan,third,10,,10
gemma-2-2b-it,sedan,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,sedan,gpt-4.1-mini,second,0,0,10
gemma-2-2b-it,sedan,gpt-4.1-mini,third,0,0,10
gemma-2-2b-it,sedan,gpt-4.1-nano,first,10,2,
gemma-2-2b-it,sedan,gpt-4.1-nano,second,10,88,
gemma-2-2b-it,sedan,gpt-4.1-nano,third,20,86,
gemma-2-2b-it,sedan,gpt-4o-mini,first,5,,9
gemma-2-2b-it,sedan,gpt-4o-mini,second,5,2,9
gemma-2-2b-it,sedan,gpt-4o-mini,third,0,7,8
gemma-2-2b-it,sensros,first,0,0,
gemma-2-2b-it,sensros,second,10,0,9
gemma-2-2b-it,sensros,third,0,9,
gemma-2-2b-it,sensros,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,sensros,gpt-4.1-mini,second,0,0,10
gemma-2-2b-it,sensros,gpt-4.1-mini,third,0,0,
gemma-2-2b-it,sensros,gpt-4.1-nano,first,25,1,
gemma-2-2b-it,sensros,gpt-4.1-nano,second,10,3,
gemma-2-2b-it,sensros,gpt-4.1-nano,third,20,,
gemma-2-2b-it,sensros,gpt-4o-mini,first,0,0,
gemma-2-2b-it,sensros,gpt-4o-mini,second,0,2,9
gemma-2-2b-it,sensros,gpt-4o-mini,third,0,2,8
gemma-2-2b-it,slider_crank,first,5,,9
gemma-2-2b-it,slider_crank,second,10,4,10
gemma-2-2b-it,slider_crank,third,0,4,9
gemma-2-2b-it,slider_crank,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,slider_crank,gpt-4.1-mini,second,0,0,9
gemma-2-2b-it,slider_crank,gpt-4.1-mini,third,0,0,
gemma-2-2b-it,slider_crank,gpt-4.1-nano,first,20,72,0
gemma-2-2b-it,slider_crank,gpt-4.1-nano,second,20,2,
gemma-2-2b-it,slider_crank,gpt-4.1-nano,third,20,,
gemma-2-2b-it,slider_crank,gpt-4o-mini,first,0,3,8
gemma-2-2b-it,slider_crank,gpt-4o-mini,second,0,1,
gemma-2-2b-it,slider_crank,gpt-4o-mini,third,10,0,10
gemma-2-2b-it,tablecloth,first,0,0,
gemma-2-2b-it,tablecloth,second,10,,
gemma-2-2b-it,tablecloth,third,10,0,9
gemma-2-2b-it,tablecloth,gpt-4.1-mini,first,0,0,10
gemma-2-2b-it,tablecloth,gpt-4.1-mini,second,0,0,
gemma-2-2b-it,tablecloth,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,tablecloth,gpt-4.1-nano,first,0,,
gemma-2-2b-it,tablecloth,gpt-4.1-nano,second,20,3,
gemma-2-2b-it,tablecloth,gpt-4.1-nano,third,10,89,
gemma-2-2b-it,tablecloth,gpt-4o-mini,first,0,0,
gemma-2-2b-it,tablecloth,gpt-4o-mini,second,0,1,
gemma-2-2b-it,tablecloth,gpt-4o-mini,third,10,1,9
gemma-2-2b-it,turtlebot,first,10,0,10
gemma-2-2b-it,turtlebot,second,0,,
gemma-2-2b-it,turtlebot,third,0,1,9
gemma-2-2b-it,turtlebot,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,turtlebot,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,turtlebot,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,turtlebot,gpt-4.1-nano,first,10,2,
gemma-2-2b-it,turtlebot,gpt-4.1-nano,second,20,2,
gemma-2-2b-it,turtlebot,gpt-4.1-nano,third,20,,
gemma-2-2b-it,turtlebot,gpt-4o-mini,first,0,,9
gemma-2-2b-it,turtlebot,gpt-4o-mini,second,0,3,9
gemma-2-2b-it,turtlebot,gpt-4o-mini,third,0,,
gemma-2-2b-it,uazbus,first,10,,
gemma-2-2b-it,uazbus,second,10,90,10
gemma-2-2b-it,uazbus,third,10,0,10
gemma-2-2b-it,uazbus,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,uazbus,gpt-4.1-mini,second,0,5,0
gemma-2-2b-it,uazbus,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,uazbus,gpt-4.1-nano,first,10,8,
gemma-2-2b-it,uazbus,gpt-4.1-nano,second,20,81,
gemma-2-2b-it,uazbus,gpt-4.1-nano,third,20,4,
gemma-2-2b-it,uazbus,gpt-4o-mini,first,0,40,8
gemma-2-2b-it,uazbus,gpt-4o-mini,second,0,4,
gemma-2-2b-it,uazbus,gpt-4o-mini,third,0,2,9
gemma-2-2b-it,vehros,first,20,70,9
gemma-2-2b-it,vehros,second,10,3,9
gemma-2-2b-it,vehros,third,0,65,
gemma-2-2b-it,vehros,gpt-4.1-mini,first,0,0,
gemma-2-2b-it,vehros,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,vehros,gpt-4.1-mini,third,0,0,
gemma-2-2b-it,vehros,gpt-4.1-nano,first,10,6,
gemma-2-2b-it,vehros,gpt-4.1-nano,second,10,,
gemma-2-2b-it,vehros,gpt-4.1-nano,third,0,86,
gemma-2-2b-it,vehros,gpt-4o-mini,first,0,6,9
gemma-2-2b-it,vehros,gpt-4o-mini,second,10,,9
gemma-2-2b-it,vehros,gpt-4o-mini,third,10,0,10
gemma-2-2b-it,veh_app,first,0,,10
gemma-2-2b-it,veh_app,second,0,,9
gemma-2-2b-it,veh_app,third,0,4,10
gemma-2-2b-it,veh_app,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,veh_app,gpt-4.1-mini,second,0,0,0
gemma-2-2b-it,veh_app,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,veh_app,gpt-4.1-nano,first,20,,
gemma-2-2b-it,veh_app,gpt-4.1-nano,second,20,4,
gemma-2-2b-it,veh_app,gpt-4.1-nano,third,20,,5
gemma-2-2b-it,veh_app,gpt-4o-mini,first,0,0,9
gemma-2-2b-it,veh_app,gpt-4o-mini,second,0,,
gemma-2-2b-it,veh_app,gpt-4o-mini,third,10,,9
gemma-2-2b-it,viper,first,10,4,10
gemma-2-2b-it,viper,second,10,1,9
gemma-2-2b-it,viper,third,10,,10
gemma-2-2b-it,viper,gpt-4.1-mini,first,0,0,0
gemma-2-2b-it,viper,gpt-4.1-mini,second,0,0,
gemma-2-2b-it,viper,gpt-4.1-mini,third,0,0,0
gemma-2-2b-it,viper,gpt-4.1-nano,first,20,78,
gemma-2-2b-it,viper,gpt-4.1-nano,second,10,,
gemma-2-2b-it,viper,gpt-4.1-nano,third,30,9,
gemma-2-2b-it,viper,gpt-4o-mini,first,20,,10
gemma-2-2b-it,viper,gpt-4o-mini,second,0,3,10
gemma-2-2b-it,viper,gpt-4o-mini,third,0,,9
gemma-3-1b-it,art,first,0,5,9
gemma-3-1b-it,art,second,0,10,10
gemma-3-1b-it,art,third,0,5,9
gemma-3-1b-it,beam,first,10,,10
gemma-3-1b-it,beam,second,10,1,10
gemma-3-1b-it,beam,third,0,,10
gemma-3-1b-it,buckling,first,0,,9
gemma-3-1b-it,buckling,second,0,0,9
gemma-3-1b-it,buckling,third,10,2,
gemma-3-1b-it,cable,first,0,2,9
gemma-3-1b-it,cable,second,0,10,9
gemma-3-1b-it,cable,third,10,4,
gemma-3-1b-it,camera,first,0,,8
gemma-3-1b-it,camera,second,0,4,
gemma-3-1b-it,camera,third,20,82,7
gemma-3-1b-it,citybus,first,0,1,10
gemma-3-1b-it,citybus,second,10,0,
gemma-3-1b-it,citybus,third,5,2,8
gemma-3-1b-it,curiosity,first,0,,
gemma-3-1b-it,curiosity,second,10,,10
gemma-3-1b-it,curiosity,third,0,15,10
gemma-3-1b-it,feda,first,10,,9
gemma-3-1b-it,feda,second,0,2,
gemma-3-1b-it,feda,third,0,3,10
gemma-3-1b-it,gator,first,0,0,8
gemma-3-1b-it,gator,second,0,40,
gemma-3-1b-it,gator,third,10,6,9
gemma-3-1b-it,gear,first,0,40,
gemma-3-1b-it,gear,second,10,2,
gemma-3-1b-it,gear,third,0,0,8
gemma-3-1b-it,gps_imu,first,10,2,10
gemma-3-1b-it,gps_imu,second,0,4,9
gemma-3-1b-it,gps_imu,third,10,5,
gemma-3-1b-it,handler,first,0,0,9
gemma-3-1b-it,handler,second,10,,10
gemma-3-1b-it,handler,third,10,5,9
gemma-3-1b-it,hmmwv,first,0,3,9
gemma-3-1b-it,hmmwv,second,0,3,3
gemma-3-1b-it,hmmwv,third,0,1,9
gemma-3-1b-it,kraz,first,10,0,10
gemma-3-1b-it,kraz,second,10,4,10
gemma-3-1b-it,kraz,third,10,45,8
gemma-3-1b-it,lidar,first,10,2,6
gemma-3-1b-it,lidar,second,0,,5
gemma-3-1b-it,lidar,third,10,2,6
gemma-3-1b-it,m113,first,0,,10
gemma-3-1b-it,m113,second,0,8,
gemma-3-1b-it,m113,third,0,1,10
gemma-3-1b-it,man,first,0,0,9
gemma-3-1b-it,man,second,10,5,
gemma-3-1b-it,man,third,10,,
gemma-3-1b-it,mass_spring_damper,first,0,2,10
gemma-3-1b-it,mass_spring_damper,second,10,2,10
gemma-3-1b-it,mass_spring_damper,third,5,4,9
gemma-3-1b-it,particles,first,10,,9
gemma-3-1b-it,particles,second,0,2,9
gemma-3-1b-it,particles,third,0,,
gemma-3-1b-it,pendulum,first,0,10,10
gemma-3-1b-it,pendulum,second,0,22,18
gemma-3-1b-it,pendulum,third,10,0,10
gemma-3-1b-it,rigid_highway,first,0,,7
gemma-3-1b-it,rigid_highway,second,0,2,
gemma-3-1b-it,rigid_highway,third,10,7,
gemma-3-1b-it,rigid_multipatches,first,0,3,8
gemma-3-1b-it,rigid_multipatches,second,10,3,8
gemma-3-1b-it,rigid_multipatches,third,0,4,8
gemma-3-1b-it,rotor,first,0,10,10
gemma-3-1b-it,rotor,second,0,4,
gemma-3-1b-it,rotor,third,20,2,10
gemma-3-1b-it,scm,first,10,30,9
gemma-3-1b-it,scm,second,0,,10
gemma-3-1b-it,scm,third,0,0,
gemma-3-1b-it,scm_hill,first,10,3,9
gemma-3-1b-it,scm_hill,second,10,3,
gemma-3-1b-it,scm_hill,third,10,4,
gemma-3-1b-it,sedan,first,0,6,9
gemma-3-1b-it,sedan,second,10,1,
gemma-3-1b-it,sedan,third,10,60,9
gemma-3-1b-it,sensros,first,0,0,9
gemma-3-1b-it,sensros,second,0,1,8
gemma-3-1b-it,sensros,third,0,2,9
gemma-3-1b-it,slider_crank,first,10,2,8
gemma-3-1b-it,slider_crank,second,10,,10
gemma-3-1b-it,slider_crank,third,0,0,9
gemma-3-1b-it,tablecloth,first,0,,10
gemma-3-1b-it,tablecloth,second,0,0,
gemma-3-1b-it,tablecloth,third,0,2,
gemma-3-1b-it,turtlebot,first,0,0,9
gemma-3-1b-it,turtlebot,second,0,0,
gemma-3-1b-it,turtlebot,third,0,2,9
gemma-3-1b-it,uazbus,first,10,45,9
gemma-3-1b-it,uazbus,second,0,2,9
gemma-3-1b-it,uazbus,third,0,0,
gemma-3-1b-it,vehros,first,0,,10
gemma-3-1b-it,vehros,second,0,0,
gemma-3-1b-it,vehros,third,0,,9
gemma-3-1b-it,veh_app,first,10,3,9
gemma-3-1b-it,veh_app,second,0,1,9
gemma-3-1b-it,veh_app,third,0,,9
gemma-3-1b-it,viper,first,0,0,9
gemma-3-1b-it,viper,second,0,2,9
gemma-3-1b-it,viper,third,10,0,10
gpt-4.1-mini,art,first,70,4,6
gpt-4.1-mini,art,second,85,5,
gpt-4.1-mini,art,third,85,0,8
gpt-4.1-mini,beam,first,90,,7
gpt-4.1-mini,beam,second,85,65,
gpt-4.1-mini,beam,third,85,5,8
gpt-4.1-nano,art,first,75,3,4
gpt-4.1-nano,art,second,85,,9
gpt-4.1-nano,art,third,85,7,9
gpt-4.1-nano,beam,first,75,3,4
gpt-4.1-nano,beam,second,85,2,10
gpt-4.1-nano,beam,third,85,65,9
gpt-4.1-nano,buckling,first,75,,5
gpt-4.1-nano,buckling,second,85,3,8
gpt-4.1-nano,buckling,third,85,4,
gpt-4.1-nano,cable,first,85,3,7
gpt-4.1-nano,cable,second,85,5,9
gpt-4.1-nano,cable,third,85,4,8
gpt-4.1-nano,camera,first,75,3,7
gpt-4.1-nano,camera,second,75,4,5
gpt-4.1-nano,camera,third,85,4,5
gpt-4.1-nano,citybus,first,75,,
gpt-4.1-nano,citybus,second,85,,9
gpt-4.1-nano,citybus,third,85,6,9
gpt-4.1-nano,curiosity,first,75,3,6
gpt-4.1-nano,curiosity,second,85,2,8
gpt-4.1-nano,curiosity,third,85,4,
gpt-4.1-nano,feda,first,75,0,7
gpt-4.1-nano,feda,second,90,65,8
gpt-4.1-nano,feda,third,85,60,
gpt-4.1-nano,gator,first,70,3,5
gpt-4.1-nano,gator,second,90,5,8
