Model,System,Round,Status
gpt-4.1-mini,slider_crank,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,slider_crank,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,slider_crank,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\slider_crank\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,tablecloth,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,tablecloth,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,tablecloth,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\tablecloth\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,uazbus,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,uazbus,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,uazbus,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\uazbus\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sedan,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sedan,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sedan,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sedan\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,turtlebot,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,turtlebot,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,turtlebot,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\turtlebot\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm_hill,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm_hill,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm_hill,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm_hill\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,veh_app,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,veh_app,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,veh_app,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\veh_app\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,vehros,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,vehros,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,vehros,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\vehros\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,viper,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,viper,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,viper,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\viper\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
