model,system,round,missing_file,file_path
llama4-scout,viper,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/viper/first_cleaned_response.py
llama4-scout,viper,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/viper/second_cleaned_response.py
llama4-scout,viper,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/viper/third_cleaned_response.py
llama4-scout,buckling,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/buckling/first_cleaned_response.py
llama4-scout,buckling,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/buckling/second_cleaned_response.py
llama4-scout,buckling,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/buckling/third_cleaned_response.py
llama4-scout,slider_crank,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/slider_crank/first_cleaned_response.py
llama4-scout,slider_crank,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/slider_crank/second_cleaned_response.py
llama4-scout,slider_crank,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/slider_crank/third_cleaned_response.py
llama4-scout,turtlebot,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/turtlebot/first_cleaned_response.py
llama4-scout,turtlebot,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/turtlebot/second_cleaned_response.py
llama4-scout,turtlebot,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/turtlebot/third_cleaned_response.py
llama4-scout,rigid_multipatches,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_multipatches/first_cleaned_response.py
llama4-scout,rigid_multipatches,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_multipatches/second_cleaned_response.py
llama4-scout,rigid_multipatches,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_multipatches/third_cleaned_response.py
llama4-scout,cable,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/cable/first_cleaned_response.py
llama4-scout,cable,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/cable/second_cleaned_response.py
llama4-scout,cable,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/cable/third_cleaned_response.py
llama4-scout,hmmwv,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/hmmwv/first_cleaned_response.py
llama4-scout,hmmwv,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/hmmwv/second_cleaned_response.py
llama4-scout,hmmwv,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/hmmwv/third_cleaned_response.py
llama4-scout,handler,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/handler/first_cleaned_response.py
llama4-scout,handler,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/handler/second_cleaned_response.py
llama4-scout,handler,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/handler/third_cleaned_response.py
llama4-scout,lidar,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/lidar/first_cleaned_response.py
llama4-scout,lidar,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/lidar/second_cleaned_response.py
llama4-scout,lidar,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/lidar/third_cleaned_response.py
mixtral-8x7b-instruct-v0.1,cable,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/mixtral-8x7b-instruct-v0.1/cable/second_cleaned_response.py
phi-3-medium-128k-instruct,viper,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/phi-3-medium-128k-instruct/viper/second_cleaned_response.py
phi-3-medium-128k-instruct,rotor,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/phi-3-medium-128k-instruct/rotor/third_cleaned_response.py
